date_time,value
2018-01-01 0,68.23000000044703
2018-01-01 1,68.83999999985099
2018-01-01 2,68.34999999962747
2018-01-01 3,67.74000000022352
2018-01-01 4,68.75
2018-01-01 5,69.73999999836086
2018-01-01 6,78.45999999996275
2018-01-01 7,57.860000001266606
2018-01-01 8,50.37000000011176
2018-01-01 9,49.46999999973923
2018-01-01 10,50.41000000014901
2018-01-01 11,51.970000000670545
2018-01-01 12,50.929999998770654
2018-01-01 13,51.5
2018-01-01 14,52.470000000670545
2018-01-01 15,52.41000000014901
2018-01-01 16,52.0
2018-01-01 17,51.94000000040978
2018-01-01 18,59.899999999441214
2018-01-01 19,70.74000000022352
2018-01-01 20,70.22000000160186
2018-01-01 21,70.3099999986589
2018-01-01 22,69.3300000000745
2018-01-01 23,68.30999999959022
2018-01-02 0,66.38000000081956
2018-01-02 1,66.26000000070779
2018-01-02 2,66.22999999858439
2018-01-02 3,66.71999999973923
2018-01-02 4,65.74000000022352
2018-01-02 5,66.74000000022352
2018-01-02 6,81.65000000130384
2018-01-02 7,109.34999999869616
2018-01-02 8,110.25
2018-01-02 9,115.18999999947846
2018-01-02 10,119.79000000003722
2018-01-02 11,121.23000000044705
2018-01-02 12,119.3199999993667
2018-01-02 13,114.1699999999255
2018-01-02 14,120.6000000005588
2018-01-02 15,122.36999999824913
2018-01-02 16,118.24000000208616
2018-01-02 17,111.17999999970198
2018-01-02 18,102.61999999824913
2018-01-02 19,103.99000000115484
2018-01-02 20,100.87000000011177
2018-01-02 21,86.15000000037253
2018-01-02 22,70.78000000026076
2018-01-02 23,68.29999999888241
2018-01-03 0,68.29000000096858
2018-01-03 1,65.62999999988824
2018-01-03 2,67.17999999970198
2018-01-03 3,66.69000000040978
2018-01-03 4,67.16000000014901
2018-01-03 5,67.70999999996275
2018-01-03 6,82.05999999959022
2018-01-03 7,91.97000000160186
2018-01-03 8,91.18999999854714
2018-01-03 9,99.660000000149
2018-01-03 10,109.75
2018-01-03 11,116.089999999851
2018-01-03 12,117.410000000149
2018-01-03 13,110.69000000134109
2018-01-03 14,117.61999999824913
2018-01-03 15,121.17999999877064
2018-01-03 16,113.66000000294298
2018-01-03 17,105.660000000149
2018-01-03 18,98.68999999854714
2018-01-03 19,103.8999999994412
2018-01-03 20,101.47000000067057
2018-01-03 21,87.62999999988823
2018-01-03 22,71.70999999996275
2018-01-03 23,70.18999999947846
2018-01-04 0,69.29000000003725
2018-01-04 1,67.22000000067055
2018-01-04 2,68.1499999994412
2018-01-04 3,68.28000000026077
2018-01-04 4,68.28000000026077
2018-01-04 5,69.68999999947846
2018-01-04 6,82.37000000011176
2018-01-04 7,96.44000000040977
2018-01-04 8,91.660000000149
2018-01-04 9,99.6499999994412
2018-01-04 10,109.28000000026077
2018-01-04 11,114.43999999947846
2018-01-04 12,112.63000000081956
2018-01-04 13,108.25
2018-01-04 14,118.61999999918044
2018-01-04 15,119.22000000067057
2018-01-04 16,116.12999999988823
2018-01-04 17,110.69000000134109
2018-01-04 18,102.0899999989197
2018-01-04 19,104.90999999921767
2018-01-04 20,101.50000000186265
2018-01-04 21,89.25
2018-01-04 22,74.86999999824911
2018-01-04 23,73.8999999994412
2018-01-05 0,72.39000000059605
2018-01-05 1,71.2700000004843
2018-01-05 2,71.8199999993667
2018-01-05 3,71.31000000052154
2018-01-05 4,71.81000000145285
2018-01-05 5,72.77999999839813
2018-01-05 6,84.94000000040978
2018-01-05 7,95.5
2018-01-05 8,89.92999999877065
2018-01-05 9,97.07000000122936
2018-01-05 10,104.5
2018-01-05 11,106.5
2018-01-05 12,110.589999999851
2018-01-05 13,105.49999999813735
2018-01-05 14,115.5
2018-01-05 15,114.50000000186265
2018-01-05 16,113.54000000003722
2018-01-05 17,104.98999999929221
2018-01-05 18,100.78000000026077
2018-01-05 19,103.79000000003722
2018-01-05 20,101.37000000011177
2018-01-05 21,89.71999999973923
2018-01-05 22,75.38000000175089
2018-01-05 23,72.2199999988079
2018-01-06 0,73.37000000011176
2018-01-06 1,72.27999999932945
2018-01-06 2,71.25
2018-01-06 3,71.78000000026076
2018-01-06 4,72.25
2018-01-06 5,72.72000000160187
2018-01-06 6,80.15999999921769
2018-01-06 7,71.39999999757856
2018-01-06 8,79.91000000201166
2018-01-06 9,77.96999999973924
2018-01-06 10,80.36999999824911
2018-01-06 11,84.41000000201166
2018-01-06 12,82.40999999921769
2018-01-06 13,83.87000000011176
2018-01-06 14,82.97000000067055
2018-01-06 15,82.40999999921769
2018-01-06 16,80.92999999877065
2018-01-06 17,78.38000000175089
2018-01-06 18,65.08999999985099
2018-01-06 19,76.80999999959022
2018-01-06 20,75.28000000026076
2018-01-06 21,75.8500000005588
2018-01-06 22,74.90999999921769
2018-01-06 23,72.84000000078231
2018-01-07 0,73.83999999798834
2018-01-07 1,71.37000000011176
2018-01-07 2,71.2800000011921
2018-01-07 3,71.8300000000745
2018-01-07 4,71.81000000052154
2018-01-07 5,72.7800000011921
2018-01-07 6,76.55999999865891
2018-01-07 7,57.45999999996275
2018-01-07 8,50.43999999947847
2018-01-07 9,52.41000000014901
2018-01-07 10,51.900000000372536
2018-01-07 11,51.87999999988824
2018-01-07 12,53.89999999850989
2018-01-07 13,52.97000000160189
2018-01-07 14,54.37999999988824
2018-01-07 15,52.92999999970198
2018-01-07 16,53.91000000014901
2018-01-07 17,53.46999999973923
2018-01-07 18,62.05999999959022
2018-01-07 19,74.31000000052154
2018-01-07 20,75.86000000033529
2018-01-07 21,76.31000000145285
2018-01-07 22,74.36999999824911
