date_time,value
2018-01-11 5,0.0
2018-01-11 6,37.0
2018-01-11 7,86.0
2018-01-11 8,62.5
2018-01-11 9,63.5
2018-01-11 10,59.5
2018-01-11 11,63.0
2018-01-11 12,60.5
2018-01-11 13,56.5
2018-01-11 14,60.5
2018-01-11 15,62.5
2018-01-11 16,61.0
2018-01-11 17,56.5
2018-01-11 18,54.5
2018-01-11 19,46.0
2018-01-11 20,45.0
2018-01-11 21,23.5
2018-01-11 22,0.0
2018-01-11 23,0.0
2018-01-12 0,0.0
2018-01-12 1,0.0
2018-01-12 2,0.0
2018-01-12 3,0.0
2018-01-12 4,0.0
2018-01-12 5,0.0
2018-01-12 6,34.0
2018-01-12 7,68.5
2018-01-12 8,54.5
2018-01-12 9,46.0
2018-01-12 10,49.0
2018-01-12 11,48.5
2018-01-12 12,51.0
2018-01-12 13,46.0
2018-01-12 14,60.5
2018-01-12 15,53.5
2018-01-12 16,57.5
2018-01-12 17,51.5
2018-01-12 18,46.0
2018-01-12 19,45.5
2018-01-12 20,46.0
2018-01-12 21,22.5
2018-01-12 22,0.0
2018-01-12 23,0.0
2018-01-13 0,0.0
2018-01-13 1,0.0
2018-01-13 2,0.0
2018-01-13 3,0.0
2018-01-13 4,0.0
2018-01-13 5,0.0
2018-01-13 6,23.0
2018-01-13 7,31.0
2018-01-13 8,54.5
2018-01-13 9,40.0
2018-01-13 10,40.0
2018-01-13 11,41.0
2018-01-13 12,37.0
2018-01-13 13,37.0
2018-01-13 14,40.0
2018-01-13 15,37.0
2018-01-13 16,34.0
2018-01-13 17,38.0
2018-01-13 18,0.0
2018-01-13 19,0.0
2018-01-13 20,0.0
2018-01-13 21,0.0
2018-01-13 22,0.0
2018-01-13 23,0.0
2018-01-14 0,0.0
2018-01-14 1,0.0
2018-01-14 2,0.0
2018-01-14 3,0.0
2018-01-14 4,0.0
2018-01-14 5,0.0
2018-01-14 6,13.5
2018-01-14 7,3.0
2018-01-14 8,0.0
2018-01-14 9,0.0
2018-01-14 10,0.0
2018-01-14 11,0.0
2018-01-14 12,3.0
2018-01-14 13,0.0
2018-01-14 14,0.0
2018-01-14 15,0.0
2018-01-14 16,0.0
2018-01-14 17,0.0
2018-01-14 18,0.0
2018-01-14 19,0.0
2018-01-14 20,0.0
2018-01-14 21,0.0
2018-01-14 22,0.0
2018-01-14 23,0.0
2018-01-15 0,0.0
2018-01-15 1,0.0
2018-01-15 2,3.0
2018-01-15 3,0.0
2018-01-15 4,0.0
2018-01-15 5,0.0
2018-01-15 6,43.0
2018-01-15 7,89.0
2018-01-15 8,68.0
2018-01-15 9,65.5
2018-01-15 10,61.0
2018-01-15 11,62.5
2018-01-15 12,68.5
2018-01-15 13,66.5
2018-01-15 14,68.5
2018-01-15 15,68.0
2018-01-15 16,74.5
2018-01-15 17,68.5
2018-01-15 18,74.5
2018-01-15 19,59.5
2018-01-15 20,55.0
2018-01-15 21,23.0
2018-01-15 22,0.0
2018-01-15 23,0.0
2018-01-16 0,0.0
2018-01-16 1,0.0
2018-01-16 2,0.0
2018-01-16 3,0.0
2018-01-16 4,0.0
2018-01-16 5,0.0
2018-01-16 6,40.0
2018-01-16 7,83.0
2018-01-16 8,63.0
2018-01-16 9,65.0
2018-01-16 10,74.5
2018-01-16 11,75.0
2018-01-16 12,77.5
2018-01-16 13,77.0
2018-01-16 14,77.0
2018-01-16 15,77.0
2018-01-16 16,80.0
2018-01-16 17,80.0
2018-01-16 18,65.5
2018-01-16 19,63.5
2018-01-16 20,60.0
2018-01-16 21,28.0
2018-01-16 22,0.0
2018-01-16 23,0.0
2018-01-17 0,0.0
2018-01-17 1,0.0
2018-01-17 2,0.0
2018-01-17 3,0.0
2018-01-17 4,0.0
2018-01-17 5,0.0
2018-01-17 6,41.0
2018-01-17 7,96.5
2018-01-17 8,77.0
2018-01-17 9,72.5
2018-01-17 10,83.0
2018-01-17 11,79.0
2018-01-17 12,86.0
2018-01-17 13,86.0
2018-01-17 14,92.0
2018-01-17 15,88.5
2018-01-17 16,85.5
2018-01-17 17,80.0
2018-01-17 18,71.5
2018-01-17 19,72.0
2018-01-17 20,65.5
2018-01-17 21,25.5
2018-01-17 22,0.0
2018-01-17 23,0.0
2018-01-18 0,0.0
2018-01-18 1,0.0
2018-01-18 2,0.0
2018-01-18 3,3.0
2018-01-18 4,0.0
2018-01-18 5,0.0
2018-01-18 6,42.5
2018-01-18 7,98.0
2018-01-18 8,77.0
2018-01-18 9,74.5
2018-01-18 10,86.0
2018-01-18 11,86.0
2018-01-18 12,85.5
2018-01-18 13,85.0
2018-01-18 14,92.0
2018-01-18 15,94.0
2018-01-18 16,92.0
2018-01-18 17,89.0
2018-01-18 18,83.0
2018-01-18 19,68.5
2018-01-18 20,68.0
2018-01-18 21,28.5
2018-01-18 22,0.0
2018-01-18 23,0.0
2018-01-19 0,0.0
2018-01-19 1,0.0
2018-01-19 2,0.0
2018-01-19 3,0.0
2018-01-19 4,0.0
2018-01-19 5,0.0
2018-01-19 6,43.5
2018-01-19 7,91.0
2018-01-19 8,69.5
2018-01-19 9,71.0
2018-01-19 10,68.5
2018-01-19 11,77.0
2018-01-19 12,83.0
2018-01-19 13,80.0
2018-01-19 14,86.0
2018-01-19 15,95.0
2018-01-19 16,85.5
2018-01-19 17,83.0
2018-01-19 18,74.5
2018-01-19 19,74.0
2018-01-19 20,68.5
2018-01-19 21,34.0
2018-01-19 22,0.0
2018-01-19 23,0.0
2018-01-20 0,0.0
2018-01-20 1,3.0
2018-01-20 2,0.0
2018-01-20 3,0.0
2018-01-20 4,0.0
2018-01-20 5,0.0
2018-01-20 6,29.0
2018-01-20 7,43.0
2018-01-20 8,76.5
2018-01-20 9,60.5
2018-01-20 10,66.0
2018-01-20 11,57.0
2018-01-20 12,66.0
2018-01-20 13,69.0
2018-01-20 14,62.0
2018-01-20 15,57.5
2018-01-20 16,66.0
2018-01-20 17,63.0
2018-01-20 18,0.0
2018-01-20 19,0.0
2018-01-20 20,0.0
2018-01-20 21,0.0
2018-01-20 22,0.0
2018-01-20 23,0.0
2018-01-21 0,0.0
2018-01-21 1,0.0
2018-01-21 2,0.0
2018-01-21 3,0.0
2018-01-21 4,0.0
2018-01-21 5,0.0
2018-01-21 6,22.5
2018-01-21 7,3.0
2018-01-21 8,0.0
2018-01-21 9,0.0
2018-01-21 10,0.0
2018-01-21 11,0.0
2018-01-21 12,0.0
2018-01-21 13,0.0
2018-01-21 14,0.0
2018-01-21 15,0.0
2018-01-21 16,0.0
2018-01-21 17,3.0
2018-01-21 18,0.0
2018-01-21 19,0.0
2018-01-21 20,0.0
2018-01-21 21,0.0
2018-01-21 22,0.0
2018-01-21 23,0.0
2018-01-22 0,0.0
2018-01-22 1,0.0
2018-01-22 2,0.0
2018-01-22 3,0.0
2018-01-22 4,0.0
2018-01-22 5,0.0
2018-01-22 6,48.5
2018-01-22 7,114.5
2018-01-22 8,112.0
2018-01-22 9,105.0
2018-01-22 10,103.5
2018-01-22 11,111.5
2018-01-22 12,103.0
2018-01-22 13,111.5
2018-01-22 14,105.5
2018-01-22 15,103.0
2018-01-22 16,108.5
2018-01-22 17,106.5
2018-01-22 18,96.5
2018-01-22 19,86.0
2018-01-22 20,91.5
2018-01-22 21,40.0
2018-01-22 22,0.0
2018-01-22 23,0.0
2018-01-23 0,0.0
2018-01-23 1,0.0
2018-01-23 2,0.0
2018-01-23 3,0.0
2018-01-23 4,0.0
2018-01-23 5,0.0
2018-01-23 6,46.0
2018-01-23 7,117.0
2018-01-23 8,100.5
2018-01-23 9,94.5
2018-01-23 10,99.5
2018-01-23 11,97.5
2018-01-23 12,103.0
2018-01-23 13,97.5
2018-01-23 14,94.5
2018-01-23 15,88.0
2018-01-23 16,94.5
2018-01-23 17,80.5
2018-01-23 18,83.0
2018-01-23 19,74.5
2018-01-23 20,71.0
2018-01-23 21,31.5
2018-01-23 22,0.0
2018-01-23 23,0.0
2018-01-24 0,3.0
2018-01-24 1,0.0
2018-01-24 2,0.0
2018-01-24 3,0.0
2018-01-24 4,0.0
2018-01-24 5,0.0
2018-01-24 6,39.5
2018-01-24 7,103.5
2018-01-24 8,80.0
2018-01-24 9,74.5
2018-01-24 10,91.5
2018-01-24 11,85.5
2018-01-24 12,88.5
2018-01-24 13,86.0
2018-01-24 14,95.0
2018-01-24 15,90.5
2018-01-24 16,92.0
2018-01-24 17,80.5
2018-01-24 18,80.0
2018-01-24 19,77.0
2018-01-24 20,71.0
2018-01-24 21,37.0
2018-01-24 22,0.0
2018-01-24 23,0.0
2018-01-25 0,0.0
2018-01-25 1,0.0
2018-01-25 2,0.0
2018-01-25 3,0.0
2018-01-25 4,0.0
2018-01-25 5,0.0
2018-01-25 6,41.0
2018-01-25 7,105.5
2018-01-25 8,79.5
2018-01-25 9,78.0
2018-01-25 10,85.0
2018-01-25 11,89.0
2018-01-25 12,80.5
2018-01-25 13,83.0
2018-01-25 14,85.0
2018-01-25 15,83.0
2018-01-25 16,80.0
2018-01-25 17,80.0
2018-01-25 18,80.5
2018-01-25 19,69.0
2018-01-25 20,71.5
2018-01-25 21,37.0
2018-01-25 22,0.0
2018-01-25 23,0.0
2018-01-26 0,0.0
2018-01-26 1,0.0
2018-01-26 2,3.0
2018-01-26 3,0.0
2018-01-26 4,0.0
2018-01-26 5,0.0
2018-01-26 6,37.0
2018-01-26 7,106.5
2018-01-26 8,80.0
2018-01-26 9,77.0
2018-01-26 10,83.0
2018-01-26 11,80.0
2018-01-26 12,82.5
2018-01-26 13,83.0
2018-01-26 14,89.0
2018-01-26 15,83.0
2018-01-26 16,80.0
2018-01-26 17,71.5
2018-01-26 18,65.0
2018-01-26 19,64.0
2018-01-26 20,65.5
2018-01-26 21,31.0
2018-01-26 22,0.0
2018-01-26 23,0.0
2018-01-27 0,0.0
2018-01-27 1,0.0
2018-01-27 2,0.0
2018-01-27 3,0.0
2018-01-27 4,0.0
2018-01-27 5,0.0
2018-01-27 6,26.0
2018-01-27 7,40.0
2018-01-27 8,77.0
2018-01-27 9,63.0
2018-01-27 10,65.5
2018-01-27 11,66.0
2018-01-27 12,69.0
2018-01-27 13,68.0
2018-01-27 14,66.0
2018-01-27 15,72.0
2018-01-27 16,68.0
2018-01-27 17,66.5
2018-01-27 18,0.0
2018-01-27 19,0.0
2018-01-27 20,0.0
2018-01-27 21,0.0
2018-01-27 22,0.0
2018-01-27 23,0.0
2018-01-28 0,0.0
2018-01-28 1,0.0
2018-01-28 2,0.0
2018-01-28 3,0.0
2018-01-28 4,0.0
2018-01-28 5,0.0
2018-01-28 6,25.0
2018-01-28 7,6.0
2018-01-28 8,0.0
2018-01-28 9,0.0
2018-01-28 10,0.0
2018-01-28 11,0.0
2018-01-28 12,0.0
2018-01-28 13,0.0
2018-01-28 14,3.0
2018-01-28 15,0.0
2018-01-28 16,0.0
2018-01-28 17,0.0
2018-01-28 18,0.0
2018-01-28 19,0.0
2018-01-28 20,0.0
2018-01-28 21,0.0
2018-01-28 22,0.0
2018-01-28 23,0.0
2018-01-29 0,3.0
2018-01-29 1,0.0
2018-01-29 2,0.0
2018-01-29 3,0.0
2018-01-29 4,0.0
2018-01-29 5,0.0
2018-01-29 6,43.0
2018-01-29 7,114.0
2018-01-29 8,103.5
2018-01-29 9,100.0
2018-01-29 10,102.5
2018-01-29 11,103.5
2018-01-29 12,97.5
2018-01-29 13,96.0
2018-01-29 14,103.5
2018-01-29 15,102.5
2018-01-29 16,106.5
2018-01-29 17,105.5
2018-01-29 18,91.5
2018-01-29 19,89.0
2018-01-29 20,89.0
2018-01-29 21,42.5
2018-01-29 22,0.0
2018-01-29 23,0.0
2018-01-30 0,0.0
2018-01-30 1,0.0
2018-01-30 2,0.0
2018-01-30 3,0.0
2018-01-30 4,0.0
2018-01-30 5,0.0
2018-01-30 6,46.0
2018-01-30 7,108.0
2018-01-30 8,106.5
2018-01-30 9,96.5
2018-01-30 10,106.5
2018-01-30 11,100.5
2018-01-30 12,108.0
2018-01-30 13,105.5
2018-01-30 14,106.5
2018-01-30 15,108.0
2018-01-30 16,111.5
2018-01-30 17,103.5
2018-01-30 18,88.0
2018-01-30 19,91.5
2018-01-30 20,89.0
2018-01-30 21,46.0
2018-01-30 22,0.0
2018-01-30 23,0.0
2018-01-31 0,0.0
2018-01-31 1,0.0
2018-01-31 2,0.0
2018-01-31 3,0.0
2018-01-31 4,0.0
2018-01-31 5,0.0
2018-01-31 6,39.5
2018-01-31 7,106.5
2018-01-31 8,96.5
2018-01-31 9,95.0
2018-01-31 10,102.5
2018-01-31 11,109.5
2018-01-31 12,102.5
2018-01-31 13,103.5
2018-01-31 14,114.0
2018-01-31 15,111.5
2018-01-31 16,114.0
2018-01-31 17,103.5
2018-01-31 18,91.0
2018-01-31 19,83.0
2018-01-31 20,80.0
2018-01-31 21,40.0
2018-01-31 22,0.0
2018-01-31 23,0.0
2018-02-01 0,0.0
2018-02-01 1,0.0
2018-02-01 2,0.0
2018-02-01 3,0.0
2018-02-01 4,0.0
2018-02-01 5,0.0
2018-02-01 6,43.5
2018-02-01 7,117.5
2018-02-01 8,96.5
2018-02-01 9,94.5
2018-02-01 10,102.5
2018-02-01 11,103.5
2018-02-01 12,105.5
2018-02-01 13,106.0
2018-02-01 14,111.5
2018-02-01 15,106.0
2018-02-01 16,105.5
2018-02-01 17,103.5
2018-02-01 18,94.0
2018-02-01 19,85.5
2018-02-01 20,84.0
2018-02-01 21,39.5
2018-02-01 22,0.0
2018-02-01 23,3.0
2018-02-02 0,0.0
2018-02-02 1,0.0
2018-02-02 2,0.0
2018-02-02 3,0.0
2018-02-02 4,0.0
2018-02-02 5,0.0
2018-02-02 6,37.0
2018-02-02 7,114.5
2018-02-02 8,100.0
2018-02-02 9,88.5
2018-02-02 10,94.5
2018-02-02 11,92.0
2018-02-02 12,88.5
2018-02-02 13,86.0
2018-02-02 14,87.5
2018-02-02 15,86.0
2018-02-02 16,80.5
2018-02-02 17,77.0
2018-02-02 18,74.5
2018-02-02 19,74.0
2018-02-02 20,69.5
2018-02-02 21,31.5
2018-02-02 22,0.0
2018-02-02 23,0.0
2018-02-03 0,0.0
2018-02-03 1,0.0
2018-02-03 2,0.0
2018-02-03 3,0.0
2018-02-03 4,0.0
2018-02-03 5,0.0
2018-02-03 6,30.5
2018-02-03 7,38.0
2018-02-03 8,83.0
2018-02-03 9,70.5
2018-02-03 10,78.0
2018-02-03 11,72.0
2018-02-03 12,76.5
2018-02-03 13,72.0
2018-02-03 14,74.0
2018-02-03 15,74.5
2018-02-03 16,77.0
2018-02-03 17,71.5
2018-02-03 18,0.0
2018-02-03 19,0.0
2018-02-03 20,0.0
2018-02-03 21,0.0
2018-02-03 22,0.0
2018-02-03 23,0.0
2018-02-04 0,0.0
2018-02-04 1,0.0
2018-02-04 2,0.0
2018-02-04 3,0.0
2018-02-04 4,0.0
2018-02-04 5,0.0
2018-02-04 6,19.5
2018-02-04 7,6.0
2018-02-04 8,0.0
2018-02-04 9,0.0
2018-02-04 10,0.0
2018-02-04 11,3.0
2018-02-04 12,0.0
2018-02-04 13,0.0
2018-02-04 14,0.0
2018-02-04 15,0.0
2018-02-04 16,0.0
2018-02-04 17,3.0
2018-02-04 18,0.0
2018-02-04 19,0.0
2018-02-04 20,0.0
2018-02-04 21,0.0
2018-02-04 22,0.0
2018-02-04 23,0.0
2018-02-05 0,0.0
2018-02-05 1,0.0
2018-02-05 2,0.0
2018-02-05 3,0.0
2018-02-05 4,0.0
2018-02-05 5,0.0
2018-02-05 6,45.5
2018-02-05 7,117.5
2018-02-05 8,103.0
2018-02-05 9,100.5
2018-02-05 10,105.5
2018-02-05 11,106.0
2018-02-05 12,102.5
2018-02-05 13,100.5
2018-02-05 14,99.5
2018-02-05 15,100.5
2018-02-05 16,106.5
2018-02-05 17,102.0
2018-02-05 18,94.5
2018-02-05 19,83.0
2018-02-05 20,83.0
2018-02-05 21,40.0
2018-02-05 22,0.0
2018-02-05 23,0.0
2018-02-06 0,0.0
2018-02-06 1,0.0
2018-02-06 2,0.0
2018-02-06 3,0.0
2018-02-06 4,0.0
2018-02-06 5,0.0
2018-02-06 6,40.0
2018-02-06 7,100.5
2018-02-06 8,91.0
2018-02-06 9,85.5
2018-02-06 10,89.0
2018-02-06 11,91.5
2018-02-06 12,97.0
2018-02-06 13,97.5
2018-02-06 14,89.0
2018-02-06 15,88.5
2018-02-06 16,83.0
2018-02-06 17,86.0
2018-02-06 18,80.0
2018-02-06 19,74.5
2018-02-06 20,65.0
2018-02-06 21,37.5
2018-02-06 22,0.0
2018-02-06 23,0.0
2018-02-07 0,0.0
2018-02-07 1,0.0
2018-02-07 2,0.0
2018-02-07 3,0.0
2018-02-07 4,0.0
2018-02-07 5,0.0
2018-02-07 6,38.0
2018-02-07 7,96.5
2018-02-07 8,77.5
2018-02-07 9,74.0
2018-02-07 10,89.0
2018-02-07 11,94.5
2018-02-07 12,86.0
2018-02-07 13,85.5
2018-02-07 14,88.0
2018-02-07 15,92.0
2018-02-07 16,86.0
2018-02-07 17,83.0
2018-02-07 18,74.5
2018-02-07 19,68.0
2018-02-07 20,65.5
2018-02-07 21,37.0
2018-02-07 22,0.0
2018-02-07 23,0.0
2018-02-08 0,0.0
2018-02-08 1,0.0
2018-02-08 2,0.0
2018-02-08 3,0.0
2018-02-08 4,0.0
2018-02-08 5,0.0
2018-02-08 6,38.0
2018-02-08 7,94.0
2018-02-08 8,71.5
2018-02-08 9,66.5
2018-02-08 10,80.0
2018-02-08 11,77.0
2018-02-08 12,89.0
2018-02-08 13,82.0
2018-02-08 14,97.5
2018-02-08 15,94.5
2018-02-08 16,94.0
2018-02-08 17,86.0
2018-02-08 18,75.0
2018-02-08 19,65.5
2018-02-08 20,59.5
2018-02-08 21,32.0
2018-02-08 22,0.0
2018-02-08 23,0.0
2018-02-09 0,0.0
2018-02-09 1,0.0
2018-02-09 2,0.0
2018-02-09 3,0.0
2018-02-09 4,0.0
2018-02-09 5,0.0
2018-02-09 6,34.5
2018-02-09 7,91.5
2018-02-09 8,68.5
2018-02-09 9,68.5
2018-02-09 10,72.0
2018-02-09 11,74.0
2018-02-09 12,74.5
2018-02-09 13,80.0
2018-02-09 14,77.0
2018-02-09 15,83.0
2018-02-09 16,82.5
2018-02-09 17,77.5
2018-02-09 18,77.0
2018-02-09 19,72.5
2018-02-09 20,68.0
2018-02-09 21,34.5
2018-02-09 22,0.0
2018-02-09 23,0.0
2018-02-10 0,0.0
2018-02-10 1,0.0
2018-02-10 2,0.0
2018-02-10 3,0.0
2018-02-10 4,0.0
2018-02-10 5,0.0
2018-02-10 6,23.0
2018-02-10 7,40.0
2018-02-10 8,74.0
2018-02-10 9,63.0
2018-02-10 10,63.0
2018-02-10 11,62.5
2018-02-10 12,66.0
2018-02-10 13,66.0
2018-02-10 14,66.0
2018-02-10 15,66.0
2018-02-10 16,68.0
2018-02-10 17,68.5
2018-02-10 18,0.0
2018-02-10 19,0.0
2018-02-10 20,0.0
2018-02-10 21,0.0
2018-02-10 22,0.0
2018-02-10 23,0.0
2018-02-11 0,3.0
2018-02-11 1,0.0
2018-02-11 2,0.0
2018-02-11 3,0.0
2018-02-11 4,0.0
2018-02-11 5,0.0
2018-02-11 6,17.5
2018-02-11 7,5.0
2018-02-11 8,0.0
2018-02-11 9,0.0
2018-02-11 10,0.0
2018-02-11 11,3.0
2018-02-11 12,0.0
2018-02-11 13,0.0
2018-02-11 14,0.0
2018-02-11 15,0.0
2018-02-11 16,0.0
2018-02-11 17,0.0
2018-02-11 18,0.0
2018-02-11 19,0.0
2018-02-11 20,0.0
2018-02-11 21,0.0
2018-02-11 22,0.0
2018-02-11 23,0.0
2018-02-12 0,0.0
