date_time,value
2018-01-18 5,18.0
2018-01-18 6,23.0
2018-01-18 7,30.0
2018-01-18 8,84.0
2018-01-18 9,156.0
2018-01-18 10,149.0
2018-01-18 11,217.0
2018-01-18 12,174.0
2018-01-18 13,211.0
2018-01-18 14,213.0
2018-01-18 15,267.0
2018-01-18 16,224.0
2018-01-18 17,238.0
2018-01-18 18,233.0
2018-01-18 19,191.0
2018-01-18 20,164.0
2018-01-18 21,158.0
2018-01-18 22,41.0
2018-01-18 23,29.0
2018-01-19 0,18.0
2018-01-19 1,16.0
2018-01-19 2,13.0
2018-01-19 3,19.0
2018-01-19 4,14.0
2018-01-19 5,14.0
2018-01-19 6,16.0
2018-01-19 7,32.0
2018-01-19 8,90.0
2018-01-19 9,130.0
2018-01-19 10,149.0
2018-01-19 11,209.0
2018-01-19 12,205.0
2018-01-19 13,228.0
2018-01-19 14,187.0
2018-01-19 15,199.0
2018-01-19 16,165.0
2018-01-19 17,177.0
2018-01-19 18,209.0
2018-01-19 19,171.0
2018-01-19 20,154.0
2018-01-19 21,131.0
2018-01-19 22,48.0
2018-01-19 23,23.0
2018-01-20 0,21.0
2018-01-20 1,17.0
2018-01-20 2,14.0
2018-01-20 3,14.0
2018-01-20 4,14.0
2018-01-20 5,17.0
2018-01-20 6,17.0
2018-01-20 7,21.0
2018-01-20 8,29.0
2018-01-20 9,43.0
2018-01-20 10,49.0
2018-01-20 11,55.0
2018-01-20 12,61.0
2018-01-20 13,59.0
2018-01-20 14,56.0
2018-01-20 15,54.0
2018-01-20 16,51.0
2018-01-20 17,37.0
2018-01-20 18,30.0
2018-01-20 19,33.0
2018-01-20 20,39.0
2018-01-20 21,23.0
2018-01-20 22,75.0
2018-01-20 23,35.0
2018-01-21 0,15.0
2018-01-21 1,18.0
2018-01-21 2,17.0
2018-01-21 3,13.0
2018-01-21 4,14.0
2018-01-21 5,15.0
2018-01-21 6,12.0
2018-01-21 7,14.0
2018-01-21 8,17.0
2018-01-21 9,23.0
2018-01-21 10,23.0
2018-01-21 11,31.0
2018-01-21 12,34.0
2018-01-21 13,33.0
2018-01-21 14,37.0
2018-01-21 15,31.0
2018-01-21 16,36.0
2018-01-21 17,42.0
2018-01-21 18,27.0
2018-01-21 19,23.0
2018-01-21 20,33.0
2018-01-21 21,33.0
2018-01-21 22,24.0
2018-01-21 23,23.0
2018-01-22 0,17.0
2018-01-22 1,14.0
2018-01-22 2,13.0
2018-01-22 3,11.0
2018-01-22 4,12.0
2018-01-22 5,9.0
2018-01-22 6,12.0
2018-01-22 7,26.0
2018-01-22 8,100.0
2018-01-22 9,145.0
2018-01-22 10,160.0
2018-01-22 11,227.0
2018-01-22 12,174.0
2018-01-22 13,234.0
2018-01-22 14,223.0
2018-01-22 15,266.0
2018-01-22 16,219.0
2018-01-22 17,267.0
2018-01-22 18,234.0
2018-01-22 19,230.0
2018-01-22 20,182.0
2018-01-22 21,59.0
2018-01-22 22,37.0
2018-01-22 23,18.0
2018-01-23 0,16.0
2018-01-23 1,19.0
2018-01-23 2,20.0
2018-01-23 3,15.0
2018-01-23 4,14.0
2018-01-23 5,12.0
2018-01-23 6,18.0
2018-01-23 7,36.0
2018-01-23 8,90.0
2018-01-23 9,170.0
2018-01-23 10,192.0
2018-01-23 11,219.0
2018-01-23 12,175.0
2018-01-23 13,246.0
2018-01-23 14,251.0
2018-01-23 15,270.0
2018-01-23 16,251.0
2018-01-23 17,284.0
2018-01-23 18,229.0
2018-01-23 19,207.0
2018-01-23 20,185.0
2018-01-23 21,157.0
2018-01-23 22,40.0
2018-01-23 23,27.0
2018-01-24 0,19.0
2018-01-24 1,21.0
2018-01-24 2,19.0
2018-01-24 3,15.0
2018-01-24 4,13.0
2018-01-24 5,15.0
2018-01-24 6,16.0
2018-01-24 7,26.0
2018-01-24 8,94.0
2018-01-24 9,190.0
2018-01-24 10,181.0
2018-01-24 11,224.0
2018-01-24 12,199.0
2018-01-24 13,224.0
2018-01-24 14,234.0
2018-01-24 15,263.0
2018-01-24 16,217.0
2018-01-24 17,259.0
2018-01-24 18,284.0
2018-01-24 19,228.0
2018-01-24 20,216.0
2018-01-24 21,88.0
2018-01-24 22,58.0
2018-01-24 23,39.0
2018-01-25 0,26.0
2018-01-25 1,21.0
2018-01-25 2,25.0
2018-01-25 3,22.0
2018-01-25 4,17.0
2018-01-25 5,20.0
2018-01-25 6,27.0
2018-01-25 7,44.0
2018-01-25 8,89.0
2018-01-25 9,167.0
2018-01-25 10,164.0
2018-01-25 11,253.0
2018-01-25 12,191.0
2018-01-25 13,224.0
2018-01-25 14,236.0
2018-01-25 15,274.0
2018-01-25 16,246.0
2018-01-25 17,209.0
2018-01-25 18,137.0
2018-01-25 19,114.0
2018-01-25 20,91.0
2018-01-25 21,67.0
2018-01-25 22,49.0
2018-01-25 23,29.0
2018-01-26 0,17.0
2018-01-26 1,17.0
2018-01-26 2,23.0
2018-01-26 3,18.0
2018-01-26 4,18.0
2018-01-26 5,18.0
2018-01-26 6,17.0
2018-01-26 7,33.0
2018-01-26 8,99.0
2018-01-26 9,158.0
2018-01-26 10,186.0
2018-01-26 11,227.0
2018-01-26 12,193.0
2018-01-26 13,238.0
2018-01-26 14,224.0
2018-01-26 15,212.0
2018-01-26 16,175.0
2018-01-26 17,203.0
2018-01-26 18,140.0
2018-01-26 19,75.0
2018-01-26 20,48.0
2018-01-26 21,38.0
2018-01-26 22,48.0
2018-01-26 23,20.0
2018-01-27 0,22.0
2018-01-27 1,20.0
