,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-07-02,16.0,15.0,16.0,17.0,16.0,17.0,18.0,54.0,104.0,121.0,130.0,156.0,169.0,161.0,172.0,201.0,173.0,180.0,167.0,84.0,71.0,50.0,48.0,30.0
2018-07-03,19.0,19.0,18.0,18.0,17.0,20.0,21.0,44.0,99.0,123.0,143.0,156.0,167.0,166.0,172.0,175.0,197.0,199.0,166.0,88.0,65.0,53.0,40.0,28.0
2018-07-04,26.0,20.0,17.0,20.0,22.0,22.0,26.0,71.0,124.0,156.0,151.0,197.0,209.0,210.0,174.0,185.0,179.0,176.0,159.0,80.0,67.0,56.0,58.0,76.0
2018-07-05,23.0,78.0,32.0,21.0,20.0,19.0,23.0,59.0,120.0,150.0,152.0,171.0,181.0,184.0,190.0,210.0,200.0,198.0,194.0,116.0,74.0,60.0,64.0,39.0
2018-07-06,33,30,55,28,25,27,32,67,127,275,324,232,378,309,292,308,273,329,299,254,76,60,54,38
2018-07-07,32,29,24,21,25,23,23,49,69,79,78,91,91,119,101,91,89,90,70,60,53,47,42,39
2018-07-08,33,41,87,39,28,27,25,28,41,50,46,46,47,44,41,51,39,41,50,32,42,40,41,35
2018-07-09,29.0,22.0,25.0,24.0,20.0,22.0,28.0,50.0,117.0,130.0,139.0,167.0,165.0,162.0,189.0,177.0,179.0,171.0,162.0,84.0,57.0,65.0,53.0,40.0
2018-07-10,28.0,25.0,22.0,21.0,20.0,18.0,24.0,68.0,170.0,151.0,153.0,215.0,178.0,197.0,174.0,191.0,186.0,181.0,167.0,107.0,62.0,55.0,49.0,32.0
2018-07-11,26.0,26.0,22.0,24.0,19.0,22.0,28.0,58.0,112.0,139.0,133.0,270.0,258.0,266.0,270.0,282.0,285.0,273.0,152.0,104.0,62.0,53.0,47.0,31.0
2018-07-12,24.0,22.0,25.0,23.0,22.0,22.0,28.0,55.0,112.0,170.0,200.0,190.0,175.0,178.0,173.0,213.0,240.0,173.0,160.0,116.0,87.0,77.0,64.0,40.0
2018-07-13,35.0,29.0,27.0,27.0,26.0,28.0,28.0,53.0,359.0,116.0,162.0,189.0,174.0,199.0,188.0,198.0,188.0,183.0,136.0,105.0,68.0,69.0,75.0,35.0
2018-07-14,28.0,25.0,26.0,25.0,25.0,25.0,25.0,41.0,61.0,64.0,86.0,95.0,88.0,86.0,102.0,104.0,145.0,81.0,73.0,60.0,51.0,54.0,53.0,37.0
2018-07-15,27.0,32.0,26.0,24.0,27.0,26.0,31.0,32.0,56.0,56.0,63.0,72.0,69.0,65.0,75.0,74.0,80.0,65.0,63.0,57.0,46.0,44.0,40.0,33.0
2018-07-16,26.0,23.0,19.0,20.0,22.0,25.0,26.0,60.0,91.0,158.0,194.0,234.0,225.0,233.0,223.0,219.0,210.0,174.0,153.0,87.0,80.0,54.0,50.0,52.0
2018-07-17,27,27,24,29,24,24,29,66,109,127,159,203,182,198,194,205,193,190,161,98,76,76,72,55
2018-07-18,34.0,27.0,26.0,24.0,25.0,26.0,26.0,53.0,103.0,126.0,156.0,176.0,199.0,209.0,213.0,219.0,210.0,191.0,169.0,105.0,72.0,71.0,61.0,43.0
2018-07-19,36.0,31.0,28.0,30.0,26.0,22.0,23.0,56.0,139.0,151.0,191.0,201.0,198.0,193.0,219.0,220.0,218.0,171.0,169.0,124.0,83.0,67.0,84.0,45.0
2018-07-20,32.0,31.0,33.0,26.0,28.0,29.0,35.0,60.0,137.0,146.0,175.0,190.0,164.0,287.0,380.0,197.0,194.0,171.0,145.0,99.0,78.0,57.0,67.0,42.0
2018-07-21,29,30,25,27,22,28,25,43,53,82,92,94,93,98,125,109,174,87,71,66,48,40,39,31
2018-07-22,31,21,22,22,24,26,27,29,45,50,59,59,56,56,54,60,60,56,49,43,51,43,39,40
2018-07-23,28,29,30,26,23,25,29,83,158,186,197,243,287,254,274,306,248,236,205,130,87,74,55,44
2018-07-24,36,37,34,26,27,24,34,70,145,197,177,243,237,261,258,266,246,236,180,122,71,64,60,43
2018-07-25,34,31,28,30,27,23,36,60,163,181,177,223,226,232,219,239,232,222,154,115,87,76,59,41
2018-07-26,21.0,25.0,25.0,25.0,22.0,25.0,34.0,67.0,131.0,400.0,191.0,261.0,283.0,324.0,328.0,305.0,297.0,300.0,235.0,119.0,70.0,73.0,46.0,35.0
2018-07-27,26.0,32.0,29.0,31.0,31.0,30.0,29.0,170.0,174.0,328.0,359.0,214.0,193.0,225.0,237.0,247.0,228.0,203.0,117.0,98.0,67.0,52.0,51.0,33.0
2018-07-28,28,25,29,27,26,28,21,37,67,90,106,92,104,121,93,96,82,74,74,52,41,38,49,40
2018-07-29,27.0,24.0,20.0,23.0,24.0,21.0,19.0,29.0,48.0,50.0,48.0,53.0,48.0,50.0,53.0,52.0,48.0,55.0,48.0,41.0,43.0,37.0,33.0,36.0
2018-07-30,23.0,25.0,20.0,36.0,20.0,23.0,30.0,48.0,134.0,186.0,206.0,228.0,206.0,210.0,228.0,228.0,194.0,188.0,160.0,92.0,83.0,75.0,81.0,44.0
2018-07-31,27.0,27.0,29.0,26.0,24.0,27.0,28.0,68.0,176.0,184.0,174.0,183.0,193.0,200.0,205.0,243.0,268.0,232.0,168.0,92.0,69.0,61.0,75.0,54.0
2018-08-01,27,24,27,21,19,22,22,54,161,175,159,194,207,243,224,228,203,213,155,127,82,96,112,52
2018-08-02,32,24,22,23,25,27,27,55,156,170,214,192,213,235,256,243,242,208,156,97,91,69,62,38
2018-08-03,34,27,24,20,24,24,31,49,150,158,208,224,223,219,213,359,269,251,199,94,61,59,66,50
2018-08-04,31,25,22,34,35,29,19,26,56,98,85,93,93,126,97,98,82,97,63,62,38,37,46,35
2018-08-05,31,26,25,27,22,23,23,30,74,64,68,68,57,76,70,66,77,60,48,55,66,43,39,35
2018-08-06,28.0,32.0,22.0,19.0,17.0,20.0,32.0,56.0,150.0,212.0,221.0,224.0,240.0,232.0,261.0,245.0,227.0,218.0,175.0,124.0,81.0,75.0,87.0,47.0
2018-08-07,28.0,26.0,29.0,23.0,22.0,27.0,31.0,42.0,128.0,214.0,209.0,243.0,217.0,271.0,250.0,271.0,265.0,272.0,191.0,99.0,60.0,70.0,59.0,35.0
2018-08-08,39.0,27.0,53.0,35.0,25.0,22.0,34.0,52.0,155.0,196.0,253.0,235.0,202.0,217.0,233.0,237.0,264.0,215.0,164.0,112.0,71.0,59.0,51.0,40.0
2018-08-09,34,25,28,28,28,27,25,29,46,62,75,139,248,269,123,172,202,200,214,53,43,41,42,43
2018-08-10,33.0,31.0,26.0,23.0,25.0,28.0,34.0,64.0,131.0,167.0,207.0,223.0,219.0,250.0,235.0,235.0,225.0,207.0,134.0,104.0,82.0,65.0,61.0,49.0
2018-08-11,35,33,26,28,30,27,33,46,76,118,110,97,88,103,100,105,117,117,74,61,50,61,64,41
2018-08-12,31,35,25,29,28,26,25,30,49,56,55,70,66,60,63,65,53,57,40,48,34,42,49,37
2018-08-13,28.0,36.0,20.0,18.0,20.0,25.0,32.0,71.0,159.0,332.0,357.0,363.0,353.0,512.0,464.0,486.0,437.0,376.0,345.0,354.0,321.0,190.0,86.0,43.0
2018-08-14,34.0,26.0,19.0,24.0,20.0,28.0,29.0,97.0,221.0,389.0,400.0,475.0,376.0,365.0,335.0,386.0,329.0,325.0,367.0,322.0,285.0,296.0,87.0,44.0
2018-08-15,32.0,28.0,28.0,27.0,24.0,25.0,34.0,88.0,246.0,375.0,411.0,397.0,423.0,450.0,373.0,503.0,472.0,410.0,409.0,380.0,310.0,81.0,69.0,46.0
2018-08-16,34,28,27,23,25,32,27,74,252,378,418,453,303,360,346,442,374,363,363,373,295,167,81,44
2018-08-17,27,24,22,19,23,22,30,73,195,366,407,460,291,491,479,492,433,328,287,214,94,76,61,37
2018-08-18,29.0,19.0,18.0,20.0,19.0,20.0,26.0,36.0,65.0,86.0,98.0,102.0,245.0,255.0,252.0,189.0,91.0,83.0,63.0,50.0,38.0,43.0,35.0,23.0
2018-08-19,36,14,15,16,14,14,20,18,36,48,55,54,51,49,61,59,63,61,38,36,40,40,34,28
2018-08-20,21.0,20.0,14.0,15.0,17.0,18.0,19.0,88.0,171.0,261.0,297.0,398.0,384.0,498.0,501.0,560.0,446.0,388.0,387.0,332.0,279.0,284.0,73.0,37.0
2018-08-21,27.0,24.0,19.0,17.0,20.0,23.0,22.0,93.0,259.0,395.0,398.0,411.0,355.0,445.0,351.0,403.0,315.0,331.0,310.0,286.0,234.0,184.0,69.0,37.0
2018-08-22,25.0,19.0,25.0,20.0,15.0,19.0,23.0,24.0,35.0,47.0,48.0,59.0,59.0,68.0,60.0,48.0,64.0,62.0,53.0,40.0,37.0,44.0,31.0,27.0
2018-08-23,25.0,21.0,20.0,16.0,20.0,21.0,25.0,56.0,201.0,458.0,465.0,510.0,372.0,508.0,485.0,515.0,485.0,404.0,451.0,426.0,348.0,156.0,88.0,39.0
2018-08-24,27.0,25.0,22.0,20.0,18.0,26.0,32.0,85.0,209.0,378.0,429.0,521.0,332.0,455.0,394.0,446.0,419.0,323.0,218.0,181.0,107.0,113.0,58.0,33.0
2018-08-25,30.0,29.0,32.0,25.0,22.0,24.0,27.0,57.0,188.0,248.0,247.0,256.0,164.0,208.0,207.0,212.0,119.0,88.0,68.0,63.0,49.0,37.0,48.0,26.0
2018-08-26,19.0,22.0,18.0,15.0,15.0,14.0,21.0,20.0,26.0,38.0,52.0,78.0,44.0,43.0,38.0,52.0,46.0,50.0,43.0,47.0,37.0,35.0,35.0,30.0
2018-08-27,27.0,27.0,25.0,21.0,24.0,27.0,27.0,68.0,163.0,351.0,375.0,477.0,526.0,548.0,533.0,533.0,472.0,410.0,416.0,331.0,286.0,267.0,84.0,34.0
2018-08-28,27.0,22.0,22.0,22.0,24.0,21.0,24.0,132.0,268.0,460.0,427.0,568.0,456.0,615.0,531.0,548.0,514.0,516.0,339.0,269.0,223.0,235.0,77.0,50.0
2018-08-29,44.0,24.0,24.0,21.0,23.0,25.0,29.0,127.0,289.0,412.0,448.0,517.0,562.0,650.0,540.0,690.0,625.0,609.0,487.0,411.0,367.0,149.0,88.0,46.0
2018-08-30,31,25,24,22,22,23,37,118,286,439,521,511,483,587,447,573,521,484,377,339,264,273,80,32
2018-08-31,26,22,24,19,17,20,24,120,205,453,492,509,417,484,441,495,470,470,621,309,125,129,67,37
2018-09-01,34.0,26.0,17.0,16.0,21.0,16.0,22.0,27.0,65.0,115.0,94.0,138.0,99.0,95.0,101.0,104.0,82.0,84.0,74.0,49.0,53.0,39.0,40.0,25.0
2018-09-02,13.0,15.0,17.0,18.0,16.0,15.0,13.0,18.0,29.0,37.0,29.0,31.0,40.0,41.0,43.0,55.0,56.0,54.0,45.0,41.0,46.0,31.0,33.0,31.0
2018-09-03,19,14,13,13,14,15,20,68,304,386,471,511,544,596,585,563,542,413,394,332,283,274,91,35
2018-09-04,26,24,19,16,15,16,25,136,184,409,419,485,415,527,439,520,418,459,389,295,212,194,82,49
2018-09-05,31,26,19,21,21,22,28,103,251,423,418,504,517,538,454,575,537,545,481,410,348,181,79,29
2018-09-06,21,23,23,20,26,25,35,87,212,495,548,536,433,574,472,564,516,477,378,310,232,126,97,37
2018-09-07,32,30,29,23,28,28,30,79,252,445,525,553,405,462,399,450,434,282,264,131,82,81,63,41
2018-09-08,29.0,28.0,22.0,21.0,20.0,22.0,21.0,35.0,58.0,82.0,88.0,104.0,106.0,112.0,119.0,108.0,103.0,96.0,78.0,61.0,64.0,54.0,53.0,37.0
2018-09-09,23.0,26.0,15.0,17.0,16.0,20.0,21.0,24.0,41.0,48.0,109.0,114.0,64.0,56.0,63.0,65.0,78.0,66.0,62.0,96.0,62.0,54.0,41.0,36.0
2018-09-10,26.0,30.0,27.0,27.0,21.0,20.0,38.0,91.0,198.0,414.0,488.0,491.0,473.0,554.0,553.0,644.0,516.0,433.0,276.0,232.0,210.0,157.0,85.0,39.0
2018-09-11,30.0,26.0,25.0,21.0,23.0,23.0,33.0,121.0,235.0,467.0,464.0,504.0,510.0,657.0,543.0,562.0,503.0,528.0,393.0,329.0,275.0,169.0,65.0,52.0
2018-09-12,30.0,32.0,27.0,28.0,25.0,29.0,28.0,71.0,248.0,406.0,402.0,479.0,514.0,564.0,455.0,518.0,585.0,523.0,312.0,199.0,143.0,151.0,86.0,42.0
2018-09-13,30.0,25.0,19.0,19.0,18.0,23.0,28.0,90.0,198.0,382.0,430.0,522.0,466.0,566.0,529.0,631.0,574.0,530.0,469.0,353.0,385.0,158.0,79.0,43.0
2018-09-14,32.0,28.0,24.0,21.0,22.0,23.0,24.0,118.0,201.0,448.0,522.0,545.0,432.0,480.0,487.0,544.0,482.0,360.0,274.0,185.0,190.0,144.0,130.0,47.0
2018-09-15,28.0,20.0,20.0,21.0,21.0,21.0,25.0,27.0,53.0,90.0,106.0,93.0,91.0,113.0,106.0,98.0,91.0,102.0,74.0,67.0,50.0,43.0,36.0,30.0
2018-09-16,23.0,20.0,22.0,18.0,17.0,19.0,21.0,24.0,31.0,37.0,45.0,48.0,73.0,71.0,56.0,61.0,64.0,89.0,99.0,63.0,47.0,41.0,39.0,37.0
2018-09-17,26,25,23,22,23,23,30,90,183,392,480,494,491,530,594,643,534,420,354,266,215,168,121,60
2018-09-18,31.0,28.0,21.0,21.0,13.0,23.0,29.0,93.0,191.0,354.0,389.0,482.0,435.0,536.0,501.0,535.0,447.0,476.0,337.0,278.0,242.0,180.0,51.0,44.0
2018-09-19,33.0,28.0,27.0,22.0,25.0,28.0,33.0,71.0,151.0,316.0,335.0,468.0,533.0,648.0,464.0,570.0,507.0,481.0,357.0,274.0,232.0,139.0,71.0,52.0
2018-09-20,32,28,27,25,23,22,26,45,181,355,403,520,474,628,557,616,576,523,401,327,301,139,74,44
2018-09-21,34,38,24,22,24,24,30,96,232,434,470,505,359,424,423,465,440,301,172,134,101,94,64,41
2018-09-22,32,23,23,19,17,18,23,32,67,77,75,72,74,85,84,76,62,70,49,52,43,37,43,30
2018-09-23,27,25,22,21,21,18,24,26,37,38,40,44,46,58,45,47,47,49,40,38,33,39,38,32
2018-09-24,27,24,20,20,22,20,23,46,133,177,307,326,213,217,242,232,241,221,182,121,64,58,46,29
2018-09-25,24,18,17,15,20,21,29,53,155,231,267,245,229,280,289,301,279,260,183,133,96,62,58,36
2018-09-26,24,25,18,17,17,18,24,48,118,244,218,235,227,254,253,264,224,202,195,102,83,62,48,37
2018-09-27,22,20,15,13,17,15,19,43,124,226,265,259,257,271,266,260,286,283,187,112,66,63,51,31
2018-09-28,25,26,18,15,19,19,22,66,141,184,191,218,258,286,320,282,247,223,171,93,79,53,79,27
2018-09-29,22,17,17,11,15,19,21,29,62,88,77,90,81,97,75,76,86,118,48,45,38,37,37,25
2018-09-30,17,16,13,12,11,16,16,24,29,41,44,40,49,43,43,44,54,47,50,37,34,35,31,26
2018-10-01,21,15,17,15,14,15,20,96,165,302,313,413,388,535,478,532,466,367,278,209,146,106,64,36
2018-10-02,27,24,20,19,19,18,26,88,167,306,287,459,462,549,561,523,457,472,339,272,243,111,64,43
2018-10-03,20,19,24,13,18,19,21,77,279,412,441,468,546,591,484,535,549,549,342,267,238,224,95,42
2018-10-04,24,20,17,14,14,18,27,105,252,376,420,524,483,497,447,516,543,523,362,305,331,230,139,53
2018-10-05,26,22,19,22,20,23,29,134,236,454,519,526,418,450,435,423,369,374,234,112,83,78,65,57
2018-10-06,29,23,24,17,14,16,23,33,71,82,125,121,127,163,102,110,106,155,85,68,52,39,48,26
2018-10-07,24,18,19,20,18,16,21,21,30,59,68,72,53,50,56,55,59,91,48,39,43,33,42,29
2018-10-08,24,25,19,59,19,29,26,80,192,331,386,501,497,581,650,590,548,440,331,238,189,169,108,38
2018-10-09,22,24,19,19,20,20,24,81,158,294,309,419,444,542,465,449,458,453,342,271,232,223,79,40
2018-10-10,27,23,26,18,16,19,26,84,234,421,462,549,615,691,467,594,529,523,350,286,242,204,66,44
2018-10-11,28,21,20,20,20,23,26,76,215,357,388,431,418,489,478,520,524,453,420,318,291,226,48,30
2018-10-12,25,24,21,21,21,21,30,78,219,408,489,519,417,436,413,462,415,314,551,361,161,153,74,34
2018-10-13,18,15,12,12,13,13,18,29,59,78,81,84,85,72,79,79,103,90,68,69,43,56,54,24
2018-10-14,20,18,17,18,13,15,16,20,25,28,52,37,104,66,67,63,62,63,47,54,48,41,39,61
2018-10-15,20.0,17.0,14.0,12.0,17.0,17.0,22.0,66.0,183.0,302.0,300.0,300.0,300.0,607.0,607.0,607.0,568.0,476.0,336.0,254.0,195.0,236.0,83.0,49.0
2018-10-16,38,27,21,15,16,21,23,110,260,384,435,575,545,648,565,572,507,541,351,317,259,293,328,61
2018-10-17,51,62,21,20,21,22,24,98,239,401,469,509,512,626,470,580,536,518,321,276,195,182,80,47
2018-10-18,83,25,20,17,17,18,25,78,231,401,479,540,517,561,473,618,560,548,319,298,233,157,157,55
2018-10-19,25,20,17,15,15,17,27,81,233,373,478,447,426,550,557,563,473,323,175,101,77,86,58,54
2018-10-20,23.0,17.0,20.0,16.0,11.0,13.0,19.0,17.0,44.0,75.0,67.0,75.0,96.0,100.0,84.0,72.0,72.0,69.0,57.0,43.0,69.0,37.0,37.0,23.0
2018-10-21,21.0,19.0,15.0,12.0,15.0,12.0,19.0,17.0,33.0,125.0,107.0,105.0,60.0,49.0,56.0,62.0,66.0,56.0,48.0,45.0,38.0,39.0,51.0,34.0
2018-10-22,24.0,22.0,17.0,14.0,17.0,18.0,22.0,59.0,184.0,302.0,394.0,532.0,642.0,678.0,630.0,644.0,571.0,471.0,281.0,213.0,189.0,176.0,85.0,41.0
2018-10-23,28.0,29.0,12.0,11.0,15.0,17.0,24.0,91.0,197.0,339.0,345.0,456.0,480.0,590.0,513.0,492.0,419.0,466.0,317.0,281.0,190.0,206.0,108.0,36.0
2018-10-24,26.0,18.0,17.0,15.0,18.0,17.0,20.0,56.0,222.0,380.0,471.0,562.0,556.0,626.0,469.0,555.0,540.0,492.0,347.0,281.0,196.0,157.0,80.0,41.0
2018-10-25,23,22,17,16,15,21,24,86,194,410,465,494,540,690,516,604,511,463,357,320,335,199,124,35
2018-10-26,28.0,25.0,18.0,19.0,16.0,15.0,27.0,65.0,184.0,366.0,498.0,560.0,480.0,506.0,477.0,452.0,369.0,297.0,218.0,180.0,87.0,56.0,60.0,30.0
2018-10-27,23,16,15,10,11,14,10,17,47,104,107,123,118,115,106,94,74,69,68,53,38,41,27,27
2018-10-28,30.0,11.0,15.0,15.0,13.0,12.0,14.0,18.0,29.0,30.0,95.0,47.0,52.0,47.0,41.0,47.0,46.0,38.0,44.0,40.0,38.0,37.0,36.0,29.0
2018-10-29,20.0,18.0,17.0,15.0,14.0,19.0,22.0,68.0,194.0,290.0,327.0,385.0,405.0,502.0,614.0,566.0,496.0,399.0,280.0,233.0,165.0,128.0,162.0,54.0
2018-10-30,28.0,19.0,13.0,15.0,16.0,17.0,22.0,80.0,236.0,347.0,454.0,525.0,516.0,604.0,547.0,560.0,480.0,513.0,369.0,292.0,232.0,204.0,88.0,39.0
2018-10-31,47.0,23.0,18.0,19.0,16.0,18.0,26.0,87.0,272.0,402.0,444.0,558.0,569.0,593.0,522.0,589.0,614.0,516.0,317.0,260.0,203.0,178.0,93.0,45.0
2018-11-01,30.0,28.0,26.0,26.0,21.0,23.0,26.0,74.0,233.0,380.0,564.0,490.0,519.0,590.0,550.0,667.0,585.0,548.0,327.0,223.0,188.0,93.0,70.0,40.0
2018-11-02,27,24,17,15,18,17,23,71,185,361,467,482,406,485,454,488,462,387,304,189,102,101,90,66
2018-11-03,25.0,21.0,18.0,15.0,15.0,13.0,17.0,30.0,47.0,80.0,85.0,88.0,95.0,98.0,102.0,111.0,111.0,107.0,70.0,67.0,42.0,67.0,79.0,34.0
2018-11-04,17.0,18.0,14.0,16.0,14.0,11.0,17.0,18.0,32.0,41.0,48.0,42.0,45.0,146.0,155.0,81.0,64.0,68.0,51.0,42.0,45.0,45.0,54.0,38.0
2018-11-05,18,20,15,14,12,16,21,72,163,355,431,504,483,555,588,595,547,448,281,233,167,122,96,50
2018-11-06,33,27,27,17,15,19,19,20,31,133,64,70,80,108,113,103,95,91,68,69,62,103,68,32
2018-11-07,21.0,23.0,19.0,16.0,13.0,16.0,19.0,67.0,260.0,401.0,437.0,481.0,553.0,595.0,489.0,534.0,514.0,496.0,328.0,250.0,204.0,104.0,82.0,54.0
2018-11-08,31,38,25,23,21,23,27,87,213,342,372,462,509,552,483,539,497,477,415,400,299,193,128,35
2018-11-09,25.0,21.0,20.0,20.0,14.0,18.0,17.0,298.0,157.0,389.0,586.0,604.0,449.0,541.0,501.0,562.0,486.0,326.0,242.0,158.0,127.0,111.0,84.0,60.0
2018-11-10,30.0,24.0,19.0,16.0,15.0,15.0,15.0,20.0,54.0,77.0,90.0,108.0,87.0,100.0,95.0,97.0,119.0,115.0,96.0,68.0,58.0,53.0,51.0,29.0
2018-11-11,27.0,21.0,21.0,21.0,17.0,17.0,18.0,21.0,25.0,35.0,33.0,40.0,41.0,48.0,58.0,53.0,55.0,46.0,52.0,54.0,49.0,41.0,54.0,46.0
2018-11-12,28,24,25,22,21,20,19,68,129,243,294,372,309,383,439,561,532,424,280,247,209,147,85,45
2018-11-13,41.0,14.0,12.0,13.0,14.0,14.0,22.0,92.0,278.0,315.0,293.0,389.0,388.0,456.0,421.0,480.0,413.0,426.0,300.0,284.0,255.0,162.0,80.0,41.0
2018-11-14,24.0,21.0,21.0,18.0,20.0,19.0,23.0,87.0,183.0,304.0,381.0,429.0,374.0,381.0,412.0,533.0,560.0,501.0,329.0,238.0,219.0,86.0,71.0,51.0
2018-11-15,24.0,19.0,21.0,18.0,18.0,19.0,22.0,55.0,193.0,314.0,515.0,378.0,354.0,425.0,410.0,481.0,392.0,361.0,316.0,293.0,283.0,223.0,60.0,38.0
2018-11-16,23,21,23,19,16,18,21,63,184,345,433,450,288,405,425,557,481,352,193,120,96,76,75,48
2018-11-17,27,24,22,19,16,16,17,21,39,58,67,65,79,73,72,90,96,80,71,55,49,51,49,44
2018-11-18,17.0,20.0,15.0,17.0,16.0,18.0,20.0,29.0,25.0,31.0,39.0,46.0,46.0,45.0,43.0,48.0,46.0,48.0,34.0,32.0,30.0,31.0,39.0,36.0
2018-11-19,20,23,17,16,18,19,24,44,148,218,265,291,213,233,273,263,236,243,160,73,64,56,51,39
2018-11-20,35.0,24.0,24.0,25.0,26.0,25.0,31.0,37.0,123.0,187.0,218.0,242.0,226.0,266.0,266.0,267.0,287.0,244.0,176.0,125.0,93.0,70.0,68.0,45.0
2018-11-21,37,32,23,27,33,29,31,49,126,158,206,218,219,231,320,340,283,232,182,118,73,67,58,37
2018-11-22,34,28,26,27,27,29,34,43,131,168,233,277,256,257,301,303,279,247,183,111,81,76,65,48
2018-11-23,31.0,30.0,26.0,25.0,30.0,28.0,30.0,45.0,111.0,165.0,205.0,259.0,258.0,248.0,310.0,279.0,268.0,235.0,148.0,117.0,86.0,66.0,56.0,42.0
2018-11-24,22.0,20.0,20.0,18.0,15.0,19.0,23.0,28.0,64.0,55.0,66.0,122.0,154.0,83.0,80.0,149.0,84.0,87.0,84.0,73.0,59.0,47.0,42.0,36.0
2018-11-25,18,20,18,17,14,15,17,25,29,33,44,46,38,48,53,62,56,49,45,42,63,46,35,27
2018-11-26,23.0,19.0,22.0,18.0,23.0,20.0,24.0,41.0,114.0,167.0,200.0,229.0,278.0,280.0,243.0,265.0,257.0,231.0,170.0,99.0,92.0,80.0,79.0,45.0
2018-11-27,32,25,21,20,25,20,22,43,136,145,187,209,276,223,236,260,231,211,143,105,93,147,53,41
2018-11-28,37,32,28,24,25,25,27,59,125,166,198,208,202,202,219,238,233,222,177,109,96,83,71,35
2018-11-29,25.0,24.0,20.0,25.0,20.0,26.0,24.0,47.0,108.0,153.0,176.0,206.0,218.0,252.0,279.0,272.0,259.0,244.0,197.0,102.0,122.0,86.0,66.0,57.0
2018-11-30,34,24,27,23,24,21,28,43,122,175,194,250,222,243,261,254,244,219,135,84,72,73,68,34
2018-12-01,29.0,28.0,23.0,20.0,17.0,20.0,22.0,29.0,59.0,75.0,83.0,124.0,108.0,92.0,81.0,93.0,71.0,59.0,100.0,46.0,47.0,39.0,27.0,27.0
2018-12-02,18.0,17.0,16.0,13.0,14.0,18.0,18.0,19.0,27.0,41.0,40.0,49.0,45.0,46.0,44.0,59.0,53.0,58.0,46.0,49.0,45.0,40.0,40.0,32.0
2018-12-03,23,19,19,18,15,16,20,44,161,202,223,245,215,278,271,281,278,224,166,107,91,69,58,46
2018-12-04,29,28,21,20,19,21,25,49,106,187,212,233,225,227,265,276,251,226,174,141,90,73,54,34
2018-12-05,25,25,23,22,21,26,26,48,123,174,203,214,204,228,240,253,259,230,165,117,84,71,50,40
2018-12-06,24,24,16,20,20,21,30,56,147,160,167,176,183,202,235,265,225,205,181,102,68,75,61,47
2018-12-07,30,24,24,27,22,26,28,42,137,164,158,176,223,211,224,208,188,186,128,71,56,49,95,81
2018-12-08,31,22,23,21,22,20,23,28,37,51,53,63,71,67,71,82,79,106,47,42,42,39,26,25
2018-12-09,22,17,15,17,14,17,16,15,24,33,32,44,48,38,40,39,42,40,33,33,34,38,26,24
2018-12-10,20,17,15,16,17,15,20,34,102,139,162,167,160,155,160,178,190,185,160,86,71,61,43,35
2018-12-11,18,19,18,17,19,21,23,39,128,142,155,200,169,181,201,214,182,181,125,79,69,50,77,32
2018-12-12,22,18,20,22,22,26,23,40,114,147,186,170,165,185,194,179,176,165,166,87,75,114,117,33
2018-12-13,22,20,16,19,17,23,26,47,107,123,129,127,126,151,151,163,165,178,191,67,48,48,47,30
2018-12-14,21,16,17,17,16,17,20,40,82,119,124,136,151,143,160,169,143,146,83,73,53,38,48,35
2018-12-15,20,19,16,17,17,13,13,22,29,62,46,46,48,56,48,52,50,50,38,32,21,28,24,15
2018-12-16,15,11,11,11,12,12,13,19,40,23,29,36,33,38,36,40,33,30,27,20,24,23,23,18
2018-12-17,13,17,14,15,13,15,18,28,75,106,124,128,143,131,137,140,151,121,93,74,58,56,55,36
2018-12-18,14,14,17,11,12,14,22,36,87,139,144,146,137,167,149,221,154,200,114,65,58,57,50,25
2018-12-19,22,20,15,20,16,19,19,36,90,117,141,139,121,130,157,157,154,136,95,67,54,54,42,135
2018-12-20,19,17,47,19,16,15,19,25,89,120,138,151,130,147,163,152,133,143,109,67,58,46,57,32
2018-12-21,25,23,19,17,16,18,22,32,101,120,127,129,160,148,148,149,125,173,79,61,44,58,42,29
2018-12-22,19.0,20.0,20.0,15.0,15.0,19.0,19.0,24.0,146.0,78.0,157.0,47.0,67.0,61.0,60.0,70.0,63.0,62.0,42.0,38.0,30.0,34.0,28.0,33.0
2018-12-23,19.0,14.0,18.0,16.0,15.0,17.0,23.0,23.0,30.0,29.0,31.0,37.0,30.0,26.0,29.0,33.0,34.0,33.0,30.0,33.0,28.0,24.0,22.0,23.0
2018-12-24,16.0,18.0,16.0,14.0,17.0,23.0,21.0,34.0,75.0,95.0,101.0,117.0,126.0,173.0,164.0,78.0,69.0,137.0,51.0,39.0,40.0,66.0,26.0,23.0
2018-12-25,21.0,18.0,17.0,16.0,16.0,19.0,22.0,22.0,28.0,30.0,28.0,31.0,29.0,38.0,45.0,37.0,39.0,31.0,29.0,27.0,28.0,29.0,27.0,25.0
2018-12-26,20.0,21.0,20.0,14.0,14.0,17.0,19.0,31.0,68.0,107.0,115.0,126.0,264.0,119.0,146.0,118.0,131.0,118.0,137.0,54.0,44.0,72.0,35.0,24.0
