,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-02-26,13.0,11.0,5.0,6.0,7.0,9.0,8.0,21.0,51.0,62.0,93.0,97.0,93.0,104.0,99.0,105.0,106.0,97.0,79.0,50.0,43.0,39.0,32.0,14.0
2018-02-27,12.0,15.0,11.0,11.0,10.0,10.0,13.0,22.0,44.0,59.0,85.0,102.0,111.0,115.0,118.0,129.0,115.0,111.0,78.0,48.0,42.0,40.0,36.0,22.0
2018-02-28,14,13,13,12,11,11,13,24,43,66,75,84,95,109,126,155,119,99,88,36,29,24,24,19
2018-03-01,13,8,8,9,8,7,10,20,47,77,97,123,119,130,139,146,119,101,75,41,36,35,25,19
2018-03-02,12,12,14,12,10,12,12,28,51,73,92,104,98,104,128,108,107,99,53,33,32,28,26,22
2018-03-03,15,14,11,12,13,10,10,25,30,51,49,51,43,48,46,43,48,46,34,21,17,21,18,15
2018-03-04,14.0,11.0,11.0,11.0,10.0,10.0,7.0,11.0,14.0,17.0,21.0,25.0,31.0,29.0,33.0,32.0,27.0,33.0,25.0,22.0,23.0,25.0,22.0,14.0
2018-03-05,10,12,12,10,7,8,12,22,63,110,130,167,136,166,188,204,185,179,151,130,132,69,43,21
2018-03-06,16,9,10,8,10,10,13,29,79,127,163,183,137,171,202,487,498,414,355,188,125,117,81,52
2018-03-07,33,24,17,16,19,18,20,114,187,408,504,467,352,473,532,497,430,422,398,316,276,155,54,33
2018-03-08,30,32,20,19,20,21,22,76,164,308,365,468,379,516,527,541,467,449,363,230,155,104,70,33
2018-03-09,24,20,19,20,17,21,20,88,215,263,331,393,435,407,372,384,350,315,283,256,192,198,70,43
2018-03-10,20,20,16,17,13,12,19,31,60,95,91,122,120,117,115,122,112,105,68,49,41,40,48,26
2018-03-11,21.0,15.0,16.0,17.0,14.0,15.0,16.0,19.0,33.0,39.0,55.0,65.0,61.0,70.0,65.0,65.0,61.0,54.0,48.0,58.0,51.0,69.0,39.0,26.0
2018-03-12,20.0,18.0,13.0,11.0,16.0,16.0,17.0,53.0,128.0,219.0,253.0,372.0,391.0,426.0,434.0,467.0,468.0,473.0,361.0,193.0,142.0,92.0,84.0,35.0
2018-03-13,26.0,20.0,21.0,18.0,18.0,22.0,23.0,76.0,156.0,266.0,350.0,461.0,384.0,613.0,485.0,557.0,519.0,404.0,404.0,338.0,285.0,197.0,72.0,47.0
2018-03-14,29,21,15,16,15,15,21,78,243,376,547,490,408,658,550,542,522,372,374,318,290,277,61,39
