timestep,building_wifi_count,floor_2_wifi_count,floor_3_wifi_count,floor_4_wifi_count,floor_5_wifi_count,floor_6_wifi_count
2018-06-09T05:00:00Z,0.027262813522355506,0.00392156862745098,0.005050505050505051,0.0219435736677116,0.027932960893854747,0.02
2018-06-09T06:00:00Z,0.025081788440567066,0.00392156862745098,0.005050505050505051,0.018808777429467086,0.027932960893854747,0.02
2018-06-09T07:00:00Z,0.029443838604143947,0.00392156862745098,0.005050505050505051,0.025078369905956112,0.0335195530726257,0.016
2018-06-09T08:00:00Z,0.04798255179934569,0.00784313725490196,0.015151515151515152,0.0438871473354232,0.0446927374301676,0.024
2018-06-09T09:00:00Z,0.05561613958560523,0.0196078431372549,0.025252525252525252,0.04075235109717868,0.05027932960893855,0.044
2018-06-09T10:00:00Z,0.062159214830970554,0.027450980392156862,0.025252525252525252,0.04075235109717868,0.07262569832402235,0.044
2018-06-09T11:00:00Z,0.07197382769901854,0.0196078431372549,0.030303030303030304,0.05642633228840126,0.0893854748603352,0.036
2018-06-09T12:00:00Z,0.3336968375136314,0.10980392156862745,0.08080808080808081,0.38557993730407525,0.10614525139664804,0.052
2018-06-09T13:00:00Z,0.3718647764449291,0.08235294117647059,0.09090909090909091,0.4169278996865204,0.21787709497206703,0.06
2018-06-09T14:00:00Z,0.3456924754634678,0.08235294117647059,0.07575757575757576,0.4043887147335423,0.16201117318435754,0.036
2018-06-09T15:00:00Z,0.3326063249727372,0.07058823529411765,0.06565656565656566,0.3887147335423197,0.13966480446927373,0.056
2018-06-09T16:00:00Z,0.29443838604143946,0.058823529411764705,0.0707070707070707,0.3385579937304075,0.13966480446927373,0.056
2018-06-09T17:00:00Z,0.31297709923664124,0.08627450980392157,0.09595959595959595,0.3605015673981191,0.11731843575418995,0.056
2018-06-09T18:00:00Z,0.24972737186477645,0.050980392156862744,0.06060606060606061,0.26332288401253917,0.0782122905027933,0.136
2018-06-09T19:00:00Z,0.07088331515812432,0.01568627450980392,0.015151515151515152,0.06583072100313479,0.055865921787709494,0.036
2018-06-09T20:00:00Z,0.06543075245365322,0.0196078431372549,0.015151515151515152,0.050156739811912224,0.07262569832402235,0.04
2018-06-09T21:00:00Z,0.04689203925845147,0.023529411764705882,0.020202020202020204,0.03761755485893417,0.03910614525139665,0.024
2018-06-09T22:00:00Z,0.04798255179934569,0.011764705882352941,0.020202020202020204,0.04075235109717868,0.0446927374301676,0.028
2018-06-09T23:00:00Z,0.04798255179934569,0.0196078431372549,0.015151515151515152,0.034482758620689655,0.0446927374301676,0.036
2018-06-10T00:00:00Z,0.03598691384950927,0.01568627450980392,0.015151515151515152,0.02821316614420063,0.03910614525139665,0.016
2018-06-10T01:00:00Z,0.026172300981461286,0.00784313725490196,0.015151515151515152,0.01567398119122257,0.0335195530726257,0.024
2018-06-10T02:00:00Z,0.021810250817884406,0.00784313725490196,0.010101010101010102,0.01567398119122257,0.027932960893854747,0.012
2018-06-10T03:00:00Z,0.025081788440567066,0.011764705882352941,0.015151515151515152,0.01567398119122257,0.027932960893854747,0.02
2018-06-10T04:00:00Z,0.025081788440567066,0.00784313725490196,0.005050505050505051,0.01567398119122257,0.0335195530726257,0.02
2018-06-10T05:00:00Z,0.025081788440567066,0.00784313725490196,0.005050505050505051,0.01567398119122257,0.0335195530726257,0.02
2018-06-10T06:00:00Z,0.028353326063249727,0.00784313725490196,0.005050505050505051,0.0219435736677116,0.027932960893854747,0.02
2018-06-10T07:00:00Z,0.023991275899672846,0.00392156862745098,0.015151515151515152,0.01567398119122257,0.0335195530726257,0.02
2018-06-10T08:00:00Z,0.03489640130861505,0.00784313725490196,0.010101010101010102,0.02821316614420063,0.0335195530726257,0.024
2018-06-10T09:00:00Z,0.04362050163576881,0.01568627450980392,0.025252525252525252,0.03134796238244514,0.03910614525139665,0.036
2018-06-10T10:00:00Z,0.05016357688113413,0.01568627450980392,0.020202020202020204,0.04075235109717868,0.03910614525139665,0.036
2018-06-10T11:00:00Z,0.05997818974918211,0.03529411764705882,0.030303030303030304,0.0438871473354232,0.0446927374301676,0.04
2018-06-10T12:00:00Z,0.06870229007633588,0.03529411764705882,0.015151515151515152,0.047021943573667714,0.07262569832402235,0.044
2018-06-10T13:00:00Z,0.05343511450381679,0.011764705882352941,0.020202020202020204,0.03761755485893417,0.0670391061452514,0.04
2018-06-10T14:00:00Z,0.062159214830970554,0.027450980392156862,0.030303030303030304,0.047021943573667714,0.05027932960893855,0.044
2018-06-10T15:00:00Z,0.05016357688113413,0.01568627450980392,0.020202020202020204,0.04075235109717868,0.05027932960893855,0.028
2018-06-10T16:00:00Z,0.061068702290076333,0.03137254901960784,0.020202020202020204,0.047021943573667714,0.061452513966480445,0.028
2018-06-10T17:00:00Z,0.07088331515812432,0.0196078431372549,0.030303030303030304,0.06269592476489028,0.0670391061452514,0.032
2018-06-10T18:00:00Z,0.05779716466739367,0.023529411764705882,0.015151515151515152,0.0438871473354232,0.061452513966480445,0.032
2018-06-10T19:00:00Z,0.05997818974918211,0.0196078431372549,0.015151515151515152,0.05642633228840126,0.0446927374301676,0.024
2018-06-10T20:00:00Z,0.04907306434023991,0.01568627450980392,0.030303030303030304,0.04075235109717868,0.055865921787709494,0.02
2018-06-10T21:00:00Z,0.05670665212649945,0.00784313725490196,0.030303030303030304,0.05329153605015674,0.055865921787709494,0.024
2018-06-10T22:00:00Z,0.061068702290076333,0.06274509803921569,0.015151515151515152,0.034482758620689655,0.055865921787709494,0.032
2018-06-10T23:00:00Z,0.03162486368593239,0.00784313725490196,0.015151515151515152,0.0219435736677116,0.0446927374301676,0.02
2018-06-11T00:00:00Z,0.03162486368593239,0.011764705882352941,0.020202020202020204,0.0219435736677116,0.0335195530726257,0.024
2018-06-11T01:00:00Z,0.027262813522355506,0.00392156862745098,0.010101010101010102,0.0219435736677116,0.027932960893854747,0.02
2018-06-11T02:00:00Z,0.027262813522355506,0.00392156862745098,0.010101010101010102,0.0219435736677116,0.0335195530726257,0.016
2018-06-11T03:00:00Z,0.022900763358778626,0.00392156862745098,0.005050505050505051,0.018808777429467086,0.0223463687150838,0.016
2018-06-11T04:00:00Z,0.021810250817884406,0.00392156862745098,0.005050505050505051,0.018808777429467086,0.0223463687150838,0.012
2018-06-11T05:00:00Z,0.022900763358778626,0.00392156862745098,0.005050505050505051,0.018808777429467086,0.027932960893854747,0.012
2018-06-11T06:00:00Z,0.028353326063249727,0.00392156862745098,0.005050505050505051,0.025078369905956112,0.0335195530726257,0.012
2018-06-11T07:00:00Z,0.03271537622682661,0.00784313725490196,0.005050505050505051,0.02821316614420063,0.027932960893854747,0.02
