date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
7/3/18,33,24,17,16,19,18,20,114,187,408,504,467,352,473,532,497,430,422,398,316,276,155,54,33
8/3/18,30,32,20,19,20,21,22,76,164,308,365,468,379,516,527,541,467,449,363,230,155,104,70,33
9/3/18,24,20,19,20,17,21,20,88,215,263,331,393,435,407,372,384,350,315,283,256,192,198,70,43
10/3/18,20,20,16,17,13,12,19,31,60,95,91,122,120,117,115,122,112,105,68,49,41,40,48,26
11/3/18,21,15,16,17,14,15,16,19,33,39,55,65,61,70,65,65,61,54,48,58,51,69,39,26
12/3/18,20,18,13,11,16,16,17,53,128,219,253,372,391,426,434,467,468,473,361,193,142,92,84,35
13/3/18,26,20,21,18,18,22,23,76,156,266,350,461,384,613,485,557,519,404,404,338,285,197,72,47
14/3/18,29,21,15,16,15,15,21,78,243,376,547,490,408,658,550,542,522,372,374,318,290,277,61,39
15/3/18,30,23,22,21,21,21,33,88,157,331,436,548,437,603,597,595,561,513,498,305,256,188,68,39
16/3/18,35,22,17,18,19,17,23,88,205,340,411,659,458,490,412,425,362,323,270,237,223,199,79,33
17/3/18,26,21,16,16,15,17,21,26,73,68,103,98,99,108,126,115,126,119,92,89,88,68,58,47
18/3/18,32,27,20,15,13,18,18,22,25,38,43,44,54,55,53,66,69,54,55,61,37,64,32,40
19/3/18,21,19,14,16,14,15,24,56,137,269,299,384,386,457,474,487,464,441,305,252,195,126,71,41
20/3/18,32,20,20,19,22,18,24,111,199,323,408,492,395,600,511,521,451,402,317,268,278,150,77,39
21/3/18,27,28,20,21,19,21,20,70,166,304,393,426,421,435,466,530,448,370,369,294,265,210,76,42
22/3/18,27,22,23,23,24,25,28,81,199,277,402,443,406,449,461,528,461,467,263,178,108,104,68,48
23/3/18,31,24,21,23,20,27,30,68,187,310,353,412,345,387,366,375,335,299,252,209,185,167,63,40
24/3/18,25,23,24,21,25,23,30,41,65,79,95,119,98,102,100,110,97,92,77,81,71,67,50,33
25/3/18,26,20,20,22,19,19,17,32,72,74,94,95,58,86,92,88,90,87,72,71,61,51,53,60
26/3/18,20,14,17,16,17,20,22,66,145,281,345,415,407,426,502,507,504,500,447,310,266,218,81,36
27/3/18,27,18,20,17,15,20,23,61,212,372,467,518,483,564,523,543,524,418,362,322,224,125,104,50
28/3/18,34,29,28,24,26,24,32,87,283,415,485,514,522,557,545,554,517,420,418,380,333,310,99,44
29/3/18,29,23,19,16,19,20,22,95,184,310,416,501,495,917,545,581,476,424,381,266,209,109,85,38
30/3/18,30,20,16,15,14,20,27,36,46,75,82,92,95,117,121,149,132,134,85,60,51,62,70,27
31/3/18,24,18,17,15,17,17,17,27,45,79,107,124,146,149,147,146,151,146,123,89,89,70,63,31
1/4/18,24,16,17,16,14,12,19,31,38,60,65,61,73,79,87,86,86,71,68,53,52,50,51,32
2/4/18,25,20,16,16,13,17,24,90,175,283,331,434,396,512,562,538,505,451,414,323,277,182,104,47
3/4/18,36,32,27,25,25,21,27,99,255,414,495,596,505,591,535,541,517,466,364,343,276,246,116,56
4/4/18,43,37,33,33,31,33,43,96,222,464,527,565,499,509,455,514,451,411,439,408,345,274,112,44
5/4/18,34,27,21,35,41,19,23,71,189,266,313,425,432,512,483,584,492,426,340,271,213,141,107,48
6/4/18,32,21,29,33,23,22,33,80,256,386,401,561,495,467,487,531,437,423,463,399,192,184,94,48
