date_time,value
2018-01-08 0,4.0
2018-01-08 1,4.0
2018-01-08 2,3.0
2018-01-08 3,4.0
2018-01-08 4,6.0
2018-01-08 5,3.0
2018-01-08 6,3.0
2018-01-08 7,6.0
2018-01-08 8,12.0
2018-01-08 9,14.0
2018-01-08 10,18.0
2018-01-08 11,24.0
2018-01-08 12,24.0
2018-01-08 13,28.0
2018-01-08 14,26.0
2018-01-08 15,30.0
2018-01-08 16,26.0
2018-01-08 17,23.0
2018-01-08 18,16.0
2018-01-08 19,9.0
2018-01-08 20,8.0
2018-01-08 21,8.0
2018-01-08 22,11.0
2018-01-08 23,5.0
2018-01-09 0,5.0
2018-01-09 1,6.0
2018-01-09 2,3.0
2018-01-09 3,3.0
2018-01-09 4,3.0
2018-01-09 5,2.0
2018-01-09 6,5.0
2018-01-09 7,4.0
2018-01-09 8,9.0
2018-01-09 9,13.0
2018-01-09 10,12.0
2018-01-09 11,18.0
2018-01-09 12,19.0
2018-01-09 13,20.0
2018-01-09 14,25.0
2018-01-09 15,24.0
2018-01-09 16,23.0
2018-01-09 17,27.0
2018-01-09 18,27.0
2018-01-09 19,13.0
2018-01-09 20,10.0
2018-01-09 21,8.0
2018-01-09 22,7.0
2018-01-09 23,6.0
2018-01-10 0,4.0
2018-01-10 1,4.0
2018-01-10 2,3.0
2018-01-10 3,3.0
2018-01-10 4,4.0
2018-01-10 5,3.0
2018-01-10 6,3.0
2018-01-10 7,3.0
2018-01-10 8,10.0
2018-01-10 9,11.0
2018-01-10 10,39.0
2018-01-10 11,40.0
2018-01-10 12,21.0
2018-01-10 13,22.0
2018-01-10 14,23.0
2018-01-10 15,22.0
2018-01-10 16,22.0
2018-01-10 17,23.0
2018-01-10 18,20.0
2018-01-10 19,7.0
2018-01-10 20,8.0
2018-01-10 21,8.0
2018-01-10 22,7.0
2018-01-10 23,6.0
2018-01-11 0,5.0
2018-01-11 1,5.0
2018-01-11 2,4.0
2018-01-11 3,4.0
2018-01-11 4,3.0
2018-01-11 5,4.0
2018-01-11 6,4.0
2018-01-11 7,5.0
2018-01-11 8,10.0
2018-01-11 9,13.0
2018-01-11 10,19.0
2018-01-11 11,23.0
2018-01-11 12,24.0
2018-01-11 13,24.0
2018-01-11 14,25.0
2018-01-11 15,30.0
2018-01-11 16,26.0
2018-01-11 17,22.0
2018-01-11 18,15.0
2018-01-11 19,9.0
2018-01-11 20,8.0
2018-01-11 21,9.0
2018-01-11 22,5.0
2018-01-11 23,4.0
2018-01-12 0,4.0
2018-01-12 1,3.0
2018-01-12 2,3.0
2018-01-12 3,3.0
2018-01-12 4,3.0
2018-01-12 5,4.0
2018-01-12 6,4.0
2018-01-12 7,7.0
2018-01-12 8,11.0
2018-01-12 9,13.0
2018-01-12 10,17.0
2018-01-12 11,25.0
2018-01-12 12,27.0
2018-01-12 13,21.0
2018-01-12 14,26.0
2018-01-12 15,28.0
2018-01-12 16,29.0
2018-01-12 17,21.0
2018-01-12 18,10.0
2018-01-12 19,6.0
2018-01-12 20,8.0
2018-01-12 21,6.0
2018-01-12 22,6.0
2018-01-12 23,4.0
2018-01-13 0,4.0
2018-01-13 1,4.0
2018-01-13 2,4.0
2018-01-13 3,3.0
2018-01-13 4,3.0
2018-01-13 5,3.0
2018-01-13 6,3.0
2018-01-13 7,4.0
2018-01-13 8,5.0
2018-01-13 9,7.0
2018-01-13 10,6.0
2018-01-13 11,7.0
2018-01-13 12,10.0
2018-01-13 13,10.0
2018-01-13 14,9.0
2018-01-13 15,9.0
2018-01-13 16,8.0
2018-01-13 17,10.0
2018-01-13 18,7.0
2018-01-13 19,5.0
2018-01-13 20,4.0
2018-01-13 21,5.0
2018-01-13 22,5.0
2018-01-13 23,5.0
2018-01-14 0,5.0
2018-01-14 1,2.0
2018-01-14 2,3.0
2018-01-14 3,3.0
2018-01-14 4,3.0
2018-01-14 5,3.0
2018-01-14 6,3.0
2018-01-14 7,3.0
2018-01-14 8,6.0
2018-01-14 9,5.0
2018-01-14 10,7.0
2018-01-14 11,6.0
2018-01-14 12,5.0
2018-01-14 13,6.0
2018-01-14 14,4.0
2018-01-14 15,7.0
2018-01-14 16,5.0
2018-01-14 17,7.0
2018-01-14 18,4.0
2018-01-14 19,8.0
2018-01-14 20,4.0
2018-01-14 21,7.0
2018-01-14 22,5.0
2018-01-14 23,5.0
2018-01-15 0,4.0
2018-01-15 1,3.0
2018-01-15 2,3.0
2018-01-15 3,3.0
2018-01-15 4,2.0
2018-01-15 5,3.0
2018-01-15 6,2.0
2018-01-15 7,5.0
2018-01-15 8,15.0
2018-01-15 9,25.0
2018-01-15 10,30.0
2018-01-15 11,39.0
2018-01-15 12,26.0
2018-01-15 13,34.0
2018-01-15 14,34.0
2018-01-15 15,41.0
2018-01-15 16,36.0
2018-01-15 17,66.0
2018-01-15 18,70.0
2018-01-15 19,70.0
2018-01-15 20,45.0
2018-01-15 21,15.0
2018-01-15 22,6.0
2018-01-15 23,3.0
2018-01-16 0,4.0
2018-01-16 1,4.0
2018-01-16 2,3.0
2018-01-16 3,3.0
2018-01-16 4,3.0
2018-01-16 5,4.0
2018-01-16 6,4.0
2018-01-16 7,6.0
2018-01-16 8,13.0
2018-01-16 9,19.0
2018-01-16 10,30.0
2018-01-16 11,36.0
2018-01-16 12,32.0
2018-01-16 13,40.0
2018-01-16 14,58.0
2018-01-16 15,50.0
2018-01-16 16,63.0
2018-01-16 17,47.0
2018-01-16 18,63.0
2018-01-16 19,68.0
2018-01-16 20,54.0
2018-01-16 21,7.0
2018-01-16 22,6.0
2018-01-16 23,5.0
2018-01-17 0,3.0
2018-01-17 1,2.0
2018-01-17 2,3.0
2018-01-17 3,3.0
2018-01-17 4,3.0
2018-01-17 5,3.0
2018-01-17 6,3.0
2018-01-17 7,5.0
2018-01-17 8,9.0
2018-01-17 9,18.0
2018-01-17 10,37.0
2018-01-17 11,37.0
2018-01-17 12,40.0
2018-01-17 13,37.0
2018-01-17 14,40.0
2018-01-17 15,48.0
2018-01-17 16,39.0
2018-01-17 17,42.0
2018-01-17 18,76.0
2018-01-17 19,80.0
2018-01-17 20,67.0
2018-01-17 21,9.0
2018-01-17 22,6.0
