date_time,value
2018-01-18 5,1.0
2018-01-18 6,6.0
2018-01-18 7,12.0
2018-01-18 8,37.0
2018-01-18 9,81.0
2018-01-18 10,45.0
2018-01-18 11,93.0
2018-01-18 12,52.0
2018-01-18 13,90.0
2018-01-18 14,79.0
2018-01-18 15,115.0
2018-01-18 16,74.0
2018-01-18 17,92.0
2018-01-18 18,58.0
2018-01-18 19,30.0
2018-01-18 20,20.0
2018-01-18 21,24.0
2018-01-18 22,17.0
2018-01-18 23,7.0
2018-01-19 0,5.0
2018-01-19 1,4.0
2018-01-19 2,3.0
2018-01-19 3,2.0
2018-01-19 4,3.0
2018-01-19 5,2.0
2018-01-19 6,3.0
2018-01-19 7,11.0
2018-01-19 8,35.0
2018-01-19 9,52.0
2018-01-19 10,43.0
2018-01-19 11,66.0
2018-01-19 12,57.0
2018-01-19 13,79.0
2018-01-19 14,53.0
2018-01-19 15,57.0
2018-01-19 16,39.0
2018-01-19 17,68.0
2018-01-19 18,48.0
2018-01-19 19,30.0
2018-01-19 20,23.0
2018-01-19 21,17.0
2018-01-19 22,14.0
2018-01-19 23,8.0
2018-01-20 0,3.0
2018-01-20 1,3.0
2018-01-20 2,4.0
2018-01-20 3,4.0
2018-01-20 4,2.0
2018-01-20 5,2.0
2018-01-20 6,2.0
2018-01-20 7,3.0
2018-01-20 8,10.0
2018-01-20 9,14.0
2018-01-20 10,10.0
2018-01-20 11,15.0
2018-01-20 12,14.0
2018-01-20 13,19.0
2018-01-20 14,14.0
2018-01-20 15,7.0
2018-01-20 16,13.0
2018-01-20 17,11.0
2018-01-20 18,12.0
2018-01-20 19,14.0
2018-01-20 20,27.0
2018-01-20 21,8.0
2018-01-20 22,59.0
2018-01-20 23,21.0
2018-01-21 0,3.0
2018-01-21 1,4.0
2018-01-21 2,2.0
2018-01-21 3,1.0
2018-01-21 4,2.0
2018-01-21 5,2.0
2018-01-21 6,1.0
2018-01-21 7,4.0
2018-01-21 8,4.0
2018-01-21 9,8.0
2018-01-21 10,8.0
2018-01-21 11,12.0
2018-01-21 12,10.0
2018-01-21 13,15.0
2018-01-21 14,14.0
2018-01-21 15,10.0
2018-01-21 16,12.0
2018-01-21 17,21.0
2018-01-21 18,9.0
2018-01-21 19,8.0
2018-01-21 20,11.0
2018-01-21 21,15.0
2018-01-21 22,9.0
2018-01-21 23,5.0
2018-01-22 0,4.0
2018-01-22 1,3.0
2018-01-22 2,1.0
2018-01-22 3,2.0
2018-01-22 4,1.0
2018-01-22 5,1.0
2018-01-22 6,2.0
2018-01-22 7,8.0
2018-01-22 8,30.0
2018-01-22 9,47.0
2018-01-22 10,41.0
2018-01-22 11,92.0
2018-01-22 12,57.0
2018-01-22 13,87.0
2018-01-22 14,92.0
2018-01-22 15,127.0
2018-01-22 16,82.0
2018-01-22 17,99.0
2018-01-22 18,57.0
2018-01-22 19,61.0
2018-01-22 20,58.0
2018-01-22 21,32.0
