date_time,value
2018-01-08 0,2.0
2018-01-08 1,1.0
2018-01-08 2,1.0
2018-01-08 3,1.0
2018-01-08 4,1.0
2018-01-08 5,2.0
2018-01-08 6,2.0
2018-01-08 7,5.0
2018-01-08 8,8.0
2018-01-08 9,16.0
2018-01-08 10,25.0
2018-01-08 11,32.0
2018-01-08 12,30.0
2018-01-08 13,29.0
2018-01-08 14,25.0
2018-01-08 15,27.0
2018-01-08 16,34.0
2018-01-08 17,24.0
2018-01-08 18,27.0
2018-01-08 19,24.0
2018-01-08 20,18.0
2018-01-08 21,12.0
2018-01-08 22,8.0
2018-01-08 23,3.0
2018-01-09 0,2.0
2018-01-09 1,2.0
2018-01-09 2,1.0
2018-01-09 3,2.0
2018-01-09 4,2.0
2018-01-09 5,3.0
2018-01-09 6,4.0
2018-01-09 7,6.0
2018-01-09 8,13.0
2018-01-09 9,23.0
2018-01-09 10,27.0
2018-01-09 11,34.0
2018-01-09 12,30.0
2018-01-09 13,47.0
2018-01-09 14,45.0
2018-01-09 15,42.0
2018-01-09 16,38.0
2018-01-09 17,37.0
2018-01-09 18,31.0
2018-01-09 19,21.0
2018-01-09 20,19.0
2018-01-09 21,17.0
2018-01-09 22,8.0
2018-01-09 23,4.0
2018-01-10 0,3.0
2018-01-10 1,3.0
2018-01-10 2,2.0
2018-01-10 3,3.0
2018-01-10 4,2.0
2018-01-10 5,4.0
2018-01-10 6,5.0
2018-01-10 7,7.0
2018-01-10 8,18.0
2018-01-10 9,25.0
2018-01-10 10,21.0
2018-01-10 11,31.0
2018-01-10 12,25.0
2018-01-10 13,33.0
2018-01-10 14,43.0
2018-01-10 15,44.0
2018-01-10 16,30.0
2018-01-10 17,35.0
2018-01-10 18,26.0
2018-01-10 19,12.0
2018-01-10 20,17.0
2018-01-10 21,16.0
2018-01-10 22,14.0
2018-01-10 23,5.0
2018-01-11 0,3.0
2018-01-11 1,3.0
2018-01-11 2,2.0
2018-01-11 3,3.0
2018-01-11 4,3.0
2018-01-11 5,2.0
2018-01-11 6,2.0
2018-01-11 7,5.0
2018-01-11 8,14.0
2018-01-11 9,20.0
2018-01-11 10,29.0
2018-01-11 11,36.0
2018-01-11 12,36.0
2018-01-11 13,32.0
2018-01-11 14,35.0
2018-01-11 15,31.0
2018-01-11 16,37.0
2018-01-11 17,45.0
2018-01-11 18,34.0
2018-01-11 19,25.0
2018-01-11 20,15.0
2018-01-11 21,9.0
2018-01-11 22,12.0
2018-01-11 23,8.0
2018-01-12 0,5.0
2018-01-12 1,4.0
2018-01-12 2,5.0
2018-01-12 3,4.0
2018-01-12 4,5.0
2018-01-12 5,5.0
2018-01-12 6,4.0
2018-01-12 7,8.0
2018-01-12 8,16.0
2018-01-12 9,19.0
2018-01-12 10,26.0
2018-01-12 11,35.0
2018-01-12 12,32.0
2018-01-12 13,36.0
2018-01-12 14,34.0
2018-01-12 15,76.0
2018-01-12 16,41.0
2018-01-12 17,34.0
2018-01-12 18,23.0
2018-01-12 19,21.0
2018-01-12 20,14.0
2018-01-12 21,7.0
2018-01-12 22,7.0
2018-01-12 23,5.0
2018-01-13 0,5.0
2018-01-13 1,4.0
2018-01-13 2,3.0
2018-01-13 3,3.0
2018-01-13 4,3.0
2018-01-13 5,2.0
2018-01-13 6,2.0
2018-01-13 7,3.0
2018-01-13 8,4.0
2018-01-13 9,5.0
2018-01-13 10,5.0
2018-01-13 11,6.0
2018-01-13 12,10.0
2018-01-13 13,16.0
2018-01-13 14,15.0
2018-01-13 15,15.0
2018-01-13 16,16.0
2018-01-13 17,13.0
2018-01-13 18,13.0
2018-01-13 19,13.0
2018-01-13 20,11.0
2018-01-13 21,10.0
2018-01-13 22,6.0
2018-01-13 23,4.0
2018-01-14 0,2.0
2018-01-14 1,2.0
2018-01-14 2,3.0
2018-01-14 3,2.0
2018-01-14 4,3.0
2018-01-14 5,2.0
2018-01-14 6,2.0
2018-01-14 7,3.0
2018-01-14 8,2.0
2018-01-14 9,3.0
2018-01-14 10,3.0
2018-01-14 11,7.0
2018-01-14 12,9.0
2018-01-14 13,14.0
2018-01-14 14,15.0
2018-01-14 15,14.0
2018-01-14 16,10.0
2018-01-14 17,10.0
2018-01-14 18,9.0
2018-01-14 19,9.0
2018-01-14 20,10.0
2018-01-14 21,9.0
2018-01-14 22,6.0
2018-01-14 23,7.0
2018-01-15 0,5.0
2018-01-15 1,5.0
2018-01-15 2,3.0
2018-01-15 3,4.0
2018-01-15 4,3.0
2018-01-15 5,3.0
2018-01-15 6,4.0
2018-01-15 7,4.0
2018-01-15 8,33.0
2018-01-15 9,61.0
2018-01-15 10,61.0
2018-01-15 11,57.0
2018-01-15 12,80.0
2018-01-15 13,99.0
2018-01-15 14,120.0
2018-01-15 15,76.0
2018-01-15 16,57.0
2018-01-15 17,46.0
2018-01-15 18,40.0
2018-01-15 19,26.0
2018-01-15 20,25.0
2018-01-15 21,23.0
2018-01-15 22,11.0
2018-01-15 23,5.0
2018-01-16 0,4.0
2018-01-16 1,5.0
2018-01-16 2,4.0
2018-01-16 3,4.0
2018-01-16 4,3.0
2018-01-16 5,4.0
2018-01-16 6,6.0
2018-01-16 7,11.0
2018-01-16 8,43.0
2018-01-16 9,87.0
2018-01-16 10,96.0
2018-01-16 11,75.0
2018-01-16 12,102.0
2018-01-16 13,123.0
2018-01-16 14,121.0
2018-01-16 15,68.0
2018-01-16 16,44.0
2018-01-16 17,38.0
2018-01-16 18,27.0
2018-01-16 19,23.0
2018-01-16 20,29.0
2018-01-16 21,22.0
2018-01-16 22,10.0
2018-01-16 23,10.0
2018-01-17 0,8.0
2018-01-17 1,7.0
2018-01-17 2,6.0
2018-01-17 3,6.0
2018-01-17 4,6.0
2018-01-17 5,7.0
2018-01-17 6,7.0
2018-01-17 7,9.0
2018-01-17 8,50.0
2018-01-17 9,76.0
2018-01-17 10,87.0
2018-01-17 11,89.0
2018-01-17 12,42.0
2018-01-17 13,59.0
2018-01-17 14,51.0
2018-01-17 15,43.0
2018-01-17 16,35.0
2018-01-17 17,49.0
2018-01-17 18,48.0
2018-01-17 19,48.0
2018-01-17 20,48.0
2018-01-17 21,34.0
2018-01-17 22,9.0
2018-01-17 23,8.0
2018-01-18 0,4.0
2018-01-18 1,3.0
2018-01-18 2,4.0
2018-01-18 3,5.0
2018-01-18 4,4.0
2018-01-18 5,6.0
2018-01-18 6,5.0
2018-01-18 7,10.0
2018-01-18 8,41.0
2018-01-18 9,76.0
2018-01-18 10,76.0
2018-01-18 11,60.0
2018-01-18 12,88.0
2018-01-18 13,94.0
2018-01-18 14,96.0
2018-01-18 15,63.0
2018-01-18 16,41.0
2018-01-18 17,36.0
2018-01-18 18,38.0
2018-01-18 19,36.0
2018-01-18 20,34.0
2018-01-18 21,20.0
2018-01-18 22,12.0
2018-01-18 23,8.0
2018-01-19 0,6.0
2018-01-19 1,7.0
2018-01-19 2,5.0
2018-01-19 3,6.0
2018-01-19 4,5.0
2018-01-19 5,7.0
2018-01-19 6,6.0
2018-01-19 7,7.0
2018-01-19 8,58.0
2018-01-19 9,109.0
2018-01-19 10,109.0
2018-01-19 11,124.0
2018-01-19 12,40.0
2018-01-19 13,40.0
2018-01-19 14,64.0
2018-01-19 15,47.0
2018-01-19 16,42.0
2018-01-19 17,41.0
2018-01-19 18,28.0
2018-01-19 19,23.0
2018-01-19 20,13.0
2018-01-19 21,17.0
2018-01-19 22,8.0
2018-01-19 23,6.0
2018-01-20 0,3.0
2018-01-20 1,3.0
2018-01-20 2,5.0
2018-01-20 3,4.0
2018-01-20 4,4.0
2018-01-20 5,4.0
2018-01-20 6,3.0
2018-01-20 7,5.0
2018-01-20 8,8.0
2018-01-20 9,6.0
2018-01-20 10,9.0
2018-01-20 11,11.0
2018-01-20 12,12.0
2018-01-20 13,14.0
2018-01-20 14,13.0
2018-01-20 15,13.0
2018-01-20 16,11.0
2018-01-20 17,10.0
2018-01-20 18,9.0
2018-01-20 19,7.0
2018-01-20 20,16.0
2018-01-20 21,6.0
2018-01-20 22,5.0
2018-01-20 23,6.0
2018-01-21 0,6.0
