date_time,value
2018-01-08 0,5.0
2018-01-08 1,5.0
2018-01-08 2,5.0
2018-01-08 3,5.0
2018-01-08 4,5.0
2018-01-08 5,5.0
2018-01-08 6,6.0
2018-01-08 7,6.0
2018-01-08 8,8.0
2018-01-08 9,14.0
2018-01-08 10,15.0
2018-01-08 11,16.0
2018-01-08 12,17.0
2018-01-08 13,19.0
2018-01-08 14,21.0
2018-01-08 15,23.0
2018-01-08 16,18.0
2018-01-08 17,16.0
2018-01-08 18,13.0
2018-01-08 19,5.0
2018-01-08 20,5.0
2018-01-08 21,4.0
2018-01-08 22,4.0
2018-01-08 23,4.0
2018-01-09 0,4.0
2018-01-09 1,4.0
2018-01-09 2,4.0
2018-01-09 3,4.0
2018-01-09 4,4.0
2018-01-09 5,4.0
2018-01-09 6,4.0
2018-01-09 7,5.0
2018-01-09 8,7.0
2018-01-09 9,12.0
2018-01-09 10,16.0
2018-01-09 11,19.0
2018-01-09 12,18.0
2018-01-09 13,27.0
2018-01-09 14,28.0
2018-01-09 15,28.0
2018-01-09 16,31.0
2018-01-09 17,26.0
2018-01-09 18,18.0
2018-01-09 19,13.0
2018-01-09 20,11.0
2018-01-09 21,10.0
2018-01-09 22,10.0
2018-01-09 23,7.0
2018-01-10 0,5.0
2018-01-10 1,5.0
2018-01-10 2,6.0
2018-01-10 3,6.0
2018-01-10 4,7.0
2018-01-10 5,5.0
2018-01-10 6,6.0
2018-01-10 7,7.0
2018-01-10 8,12.0
2018-01-10 9,17.0
2018-01-10 10,20.0
2018-01-10 11,19.0
2018-01-10 12,17.0
2018-01-10 13,19.0
2018-01-10 14,23.0
2018-01-10 15,26.0
2018-01-10 16,23.0
2018-01-10 17,21.0
2018-01-10 18,14.0
2018-01-10 19,10.0
2018-01-10 20,8.0
2018-01-10 21,8.0
2018-01-10 22,8.0
2018-01-10 23,5.0
2018-01-11 0,6.0
2018-01-11 1,6.0
2018-01-11 2,6.0
2018-01-11 3,6.0
2018-01-11 4,6.0
2018-01-11 5,5.0
2018-01-11 6,6.0
2018-01-11 7,7.0
2018-01-11 8,13.0
2018-01-11 9,17.0
2018-01-11 10,17.0
2018-01-11 11,25.0
2018-01-11 12,26.0
2018-01-11 13,23.0
2018-01-11 14,28.0
2018-01-11 15,27.0
2018-01-11 16,27.0
2018-01-11 17,22.0
2018-01-11 18,15.0
2018-01-11 19,12.0
2018-01-11 20,10.0
2018-01-11 21,9.0
2018-01-11 22,7.0
2018-01-11 23,6.0
2018-01-12 0,6.0
2018-01-12 1,5.0
2018-01-12 2,5.0
2018-01-12 3,4.0
2018-01-12 4,5.0
2018-01-12 5,5.0
2018-01-12 6,6.0
2018-01-12 7,5.0
2018-01-12 8,11.0
2018-01-12 9,16.0
2018-01-12 10,17.0
2018-01-12 11,17.0
2018-01-12 12,16.0
2018-01-12 13,24.0
2018-01-12 14,36.0
2018-01-12 15,39.0
2018-01-12 16,38.0
2018-01-12 17,19.0
2018-01-12 18,14.0
2018-01-12 19,11.0
2018-01-12 20,13.0
2018-01-12 21,7.0
2018-01-12 22,5.0
2018-01-12 23,6.0
2018-01-13 0,6.0
2018-01-13 1,5.0
2018-01-13 2,5.0
2018-01-13 3,5.0
2018-01-13 4,5.0
2018-01-13 5,5.0
2018-01-13 6,5.0
2018-01-13 7,6.0
2018-01-13 8,6.0
2018-01-13 9,8.0
2018-01-13 10,10.0
2018-01-13 11,11.0
2018-01-13 12,11.0
2018-01-13 13,10.0
2018-01-13 14,11.0
2018-01-13 15,12.0
2018-01-13 16,10.0
