date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8/1/18,5,5,5,5,5,5,6,6,8,14,15,16,17,19,21,23,18,16,13,5,5,4,4,4
9/1/18,4,4,4,4,4,4,4,5,7,12,16,19,18,27,28,28,31,26,18,13,11,10,10,7
10/1/18,5,5,6,6,7,5,6,7,12,17,20,19,17,19,23,26,23,21,14,10,8,8,8,5
11/1/18,6,6,6,6,6,5,6,7,13,17,17,25,26,23,28,27,27,22,15,12,10,9,7,6
12/1/18,6,5,5,4,5,5,6,5,11,16,17,17,16,24,36,39,38,19,14,11,13,7,5,6
13/1/18,6,5,5,5,5,5,5,6,6,8,10,11,11,10,11,12,10,9,7,8,7,7,7,7
14/1/18,5,5,4,5,6,6,5,5,7,6,7,7,6,8,8,6,7,9,6,6,9,9,8,7
15/1/18,6,5,5,5,5,5,5,6,12,17,22,26,23,26,26,34,33,31,20,12,9,9,9,6
16/1/18,5,6,5,5,5,6,5,6,13,22,23,34,31,34,30,32,29,31,19,13,13,11,8,7
17/1/18,6,7,7,6,5,6,6,7,20,17,23,35,26,27,30,31,30,27,15,15,10,8,9,7
18/1/18,6,6,6,5,5,5,6,5,14,18,24,28,29,28,32,30,29,27,18,13,8,8,6,6
19/1/18,5,5,5,5,5,6,6,6,14,13,17,26,34,33,34,34,28,24,17,8,6,6,9,5
20/1/18,5,4,4,4,4,5,5,5,6,10,12,10,10,11,11,10,11,8,5,5,4,5,5,3
21/1/18,4,4,5,4,4,3,3,2,3,3,3,5,5,4,6,6,6,6,5,4,5,5,5,4
22/1/18,5,4,4,4,4,3,3,3,16,17,24,21,25,30,32,39,40,33,42,33,13,5,4,4
23/1/18,5,7,7,5,6,5,5,6,16,18,38,39,32,34,29,32,37,25,16,10,11,8,6,6
24/1/18,7,6,6,6,5,5,5,5,13,26,28,33,29,35,33,33,37,33,26,20,15,11,8,8
25/1/18,7,7,7,7,6,7,7,8,15,22,22,29,28,27,32,35,33,26,19,12,11,7,5,6
26/1/18,5,5,7,7,6,6,6,6,16,20,27,28,33,28,34,28,21,38,34,22,12,5,5,5
27/1/18,4,5,5,5,3,4,2,3,3,8,6,8,8,6,7,9,8,8,7,5,5,5,5,5
28/1/18,4,5,5,5,4,6,5,4,4,5,5,4,4,5,5,5,5,5,4,3,4,4,4,4
29/1/18,3,5,4,5,5,4,4,4,11,12,13,16,20,16,19,29,35,23,30,9,9,7,7,5
30/1/18,5,4,5,5,3,4,3,3,9,17,18,18,21,22,30,25,21,17,12,9,8,6,4,5
31/1/18,4,5,5,4,3,4,4,3,15,20,21,22,38,23,31,36,35,26,12,9,8,6,4,5
1/2/18,3,3,2,3,3,2,4,2,7,12,12,16,28,35,18,26,23,20,15,12,7,7,6,5
2/2/18,4,4,4,3,3,3,3,5,8,16,15,19,26,23,18,15,26,20,9,7,5,8,5,5
3/2/18,5,6,5,5,5,5,5,4,5,7,7,5,7,6,7,5,6,6,7,6,7,5,4,4
4/2/18,4,4,4,4,3,3,4,3,4,5,6,4,4,5,5,5,5,4,6,5,5,4,4,3
5/2/18,4,3,4,3,4,3,3,3,8,11,10,13,17,15,22,28,32,16,8,7,7,5,4,4
6/2/18,4,4,3,3,3,3,4,4,10,11,13,15,17,22,29,24,19,18,14,10,12,6,6,4
7/2/18,4,4,4,3,3,4,3,4,6,17,25,17,33,15,21,34,17,19,13,8,4,5,4,3
8/2/18,3,2,3,3,4,4,5,4,9,9,9,13,23,35,20,24,14,16,18,12,9,7,5,4
9/2/18,4,4,3,4,4,5,4,4,7,11,15,18,26,23,19,24,21,15,12,5,5,5,4,4
10/2/18,3,4,4,3,3,4,3,4,4,6,8,7,8,5,6,10,10,9,7,5,6,5,4,3
11/2/18,2,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,4,4,3,3,4,3,3,3
12/2/18,3,2,3,3,3,3,3,3,4,12,14,11,10,16,18,21,25,21,9,4,5,7,4,3
13/2/18,1,3,2,3,3,2,2,4,9,9,12,19,16,28,19,15,14,15,10,3,3,4,3,3
14/2/18,2,2,3,2,2,2,3,2,8,12,23,19,32,26,25,33,25,13,11,5,4,5,2,2
15/2/18,2,2,2,2,2,2,2,3,7,7,7,9,20,30,13,13,7,6,4,4,3,3,3,3
16/2/18,3,2,2,2,2,3,3,3,5,5,5,4,6,5,4,5,5,4,3,3,3,4,3,3
17/2/18,3,2,3,2,3,2,2,3,3,3,3,4,2,2,3,3,3,4,2,4,3,3,3,4
18/2/18,3,2,3,3,2,2,3,3,3,3,4,3,3,2,4,2,2,2,2,2,2,3,2,2
19/2/18,2,2,2,2,2,2,2,4,7,5,10,15,13,10,21,30,34,12,13,4,3,3,4,2
20/2/18,2,1,2,2,1,2,2,4,6,7,11,10,16,22,23,20,15,14,14,12,9,6,4,3
21/2/18,3,1,2,1,2,2,1,3,8,17,39,25,34,16,23,37,32,26,15,6,4,3,4,3
22/2/18,2,1,2,2,2,3,2,3,3,7,6,19,21,29,14,19,14,13,13,6,8,6,3,3
23/2/18,2,2,2,1,2,2,2,7,8,11,11,11,15,13,16,22,42,31,8,5,4,3,4,2
24/2/18,2,3,2,2,2,2,2,2,4,3,3,4,5,4,5,3,3,3,3,2,2,1,1,2
25/2/18,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,2,3,2,2,2,3,2,1
26/2/18,1,1,1,1,1,1,1,2,3,4,6,7,11,12,11,14,9,11,12,7,5,3,4,2
27/2/18,2,3,2,2,1,2,2,2,3,5,6,8,13,13,10,9,9,10,8,6,6,5,3,5
28/2/18,4,4,4,3,3,3,4,3,6,4,6,9,8,11,15,16,14,10,8,5,4,2,4,4
1/3/18,2,2,2,1,1,1,1,1,4,6,10,12,9,13,16,17,16,15,8,6,4,2,3,3
2/3/18,1,2,2,2,1,2,2,4,5,7,8,9,11,12,21,16,14,10,8,5,5,4,3,2
3/3/18,1,3,2,2,2,2,3,2,2,5,5,4,5,7,7,6,7,5,6,1,3,2,2,3
4/3/18,2,1,1,2,1,2,2,2,2,2,3,3,2,3,1,2,2,2,4,4,3,3,3,2
5/3/18,1,2,1,2,1,1,1,2,6,9,9,10,15,14,19,17,24,15,13,5,8,3,3,4
6/3/18,2,2,1,1,1,1,2,2,7,11,16,22,10,14,22,66,73,68,64,21,16,16,12,7
7/3/18,5,2,2,3,3,3,4,18,27,35,35,51,40,49,47,64,69,63,40,23,25,13,9,6
8/3/18,3,2,2,2,2,4,4,8,24,31,33,53,40,54,51,83,68,48,46,29,21,14,9,6
9/3/18,5,4,4,5,5,7,5,15,26,29,33,41,47,49,53,47,57,45,27,21,13,13,5,3
10/3/18,3,2,2,2,2,1,3,5,11,12,14,16,14,20,17,18,20,18,16,8,5,9,11,4
11/3/18,4,2,2,2,2,2,2,4,6,3,6,7,6,6,5,4,7,5,5,5,7,7,5,2
12/3/18,3,3,2,2,2,2,3,7,23,33,34,49,42,61,52,55,51,56,48,23,17,11,9,5
13/3/18,6,4,3,2,3,4,3,13,21,29,44,57,53,69,59,73,63,46,51,26,16,18,7,6
14/3/18,5,3,1,1,2,2,3,8,26,43,51,61,73,80,68,69,53,57,45,27,17,17,5,4
15/3/18,2,2,3,3,5,5,6,11,25,36,48,63,55,77,76,82,62,55,46,26,19,11,5,4
16/3/18,6,5,4,3,4,3,3,8,20,30,36,46,40,59,46,54,64,53,36,17,13,10,6,5
17/3/18,4,3,2,3,2,4,5,6,13,11,15,17,13,13,18,20,21,24,13,9,8,6,5,3
18/3/18,2,3,2,1,1,1,1,5,4,4,4,5,4,6,5,4,7,5,5,6,4,10,4,4
19/3/18,3,2,2,2,2,3,5,9,16,35,31,47,48,54,63,73,77,49,36,22,16,17,12,10
