date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8/1/18,4,4,3,4,6,3,3,6,12,14,18,24,24,28,26,30,26,23,16,9,8,8,11,5
9/1/18,5,6,3,3,3,2,5,4,9,13,12,18,19,20,25,24,23,27,27,13,10,8,7,6
10/1/18,4,4,3,3,4,3,3,3,10,11,39,40,21,22,23,22,22,23,20,7,8,8,7,6
11/1/18,5,5,4,4,3,4,4,5,10,13,19,23,24,24,25,30,26,22,15,9,8,9,5,4
12/1/18,4,3,3,3,3,4,4,7,11,13,17,25,27,21,26,28,29,21,10,6,8,6,6,4
13/1/18,4,4,4,3,3,3,3,4,5,7,6,7,10,10,9,9,8,10,7,5,4,5,5,5
14/1/18,5,2,3,3,3,3,3,3,6,5,7,6,5,6,4,7,5,7,4,8,4,7,5,5
15/1/18,4,3,3,3,2,3,2,5,15,25,30,39,26,34,34,41,36,66,70,70,45,15,6,3
16/1/18,4,4,3,3,3,4,4,6,13,19,30,36,32,40,58,50,63,47,63,68,54,7,6,5
17/1/18,3,2,3,3,3,3,3,5,9,18,37,37,40,37,40,48,39,42,76,80,67,9,6,5
18/1/18,5,4,3,5,5,5,5,5,10,17,27,34,33,33,31,42,41,39,69,70,65,60,7,6
19/1/18,3,3,2,5,2,2,3,6,14,20,28,40,35,37,36,38,35,31,65,62,59,51,10,4
20/1/18,5,4,2,2,3,4,4,5,4,7,9,12,14,11,11,14,10,6,5,5,3,4,4,4
21/1/18,3,4,4,3,3,4,3,3,4,4,4,5,7,5,6,5,7,6,5,4,7,5,4,6
22/1/18,3,3,3,2,3,2,3,5,17,27,31,40,32,40,30,30,30,50,58,64,53,9,8,3
23/1/18,3,4,4,3,2,2,3,5,13,24,32,36,28,40,59,60,58,59,68,68,65,58,10,7
24/1/18,4,4,5,3,3,4,4,4,10,26,33,35,34,40,45,42,38,49,80,76,70,16,11,8
25/1/18,5,4,5,4,3,4,6,8,13,27,30,45,34,40,40,41,46,40,27,21,15,10,8,5
26/1/18,3,4,5,4,4,4,3,5,14,29,37,42,34,41,42,41,34,32,21,11,7,6,7,4
27/1/18,4,5,5,4,3,3,3,3,5,7,6,4,7,6,8,7,5,7,6,6,3,5,4,5
28/1/18,4,5,3,3,3,4,4,3,6,3,5,5,5,5,4,5,4,4,5,6,5,4,3,3
29/1/18,2,3,2,3,2,1,3,3,7,21,21,30,23,27,23,29,34,38,40,36,27,17,7,3
30/1/18,3,2,4,2,2,1,2,4,10,22,22,27,35,31,28,32,34,37,46,41,42,26,4,4
31/1/18,2,2,2,2,3,2,3,5,9,30,40,35,22,33,40,39,43,29,45,47,47,43,7,3
1/2/18,3,1,2,2,2,2,2,3,6,24,34,27,23,29,48,43,35,36,30,13,9,9,8,3
2/2/18,2,4,3,3,3,2,2,4,8,17,23,36,32,45,51,51,41,25,36,38,29,27,5,4
3/2/18,3,3,2,3,2,2,3,2,3,4,4,5,7,7,7,6,5,6,7,8,7,5,5,3
4/2/18,4,3,3,2,1,4,2,3,2,2,4,7,7,8,12,10,6,6,6,4,4,3,4,3
5/2/18,1,2,1,2,1,2,2,3,8,22,20,27,23,29,22,37,42,48,44,37,29,11,6,6
6/2/18,3,3,3,3,4,3,2,7,19,27,39,32,42,45,40,37,44,23,48,42,41,42,7,5
7/2/18,5,5,4,4,3,4,3,6,10,21,21,28,18,21,28,30,39,24,47,51,42,31,11,4
8/2/18,4,4,3,1,2,2,2,5,8,18,24,30,26,29,34,34,28,31,21,11,10,9,7,5
9/2/18,5,3,1,3,2,2,2,4,9,18,22,23,27,29,30,26,23,26,54,51,48,35,9,5
10/2/18,3,4,1,2,2,2,3,3,5,5,6,8,7,7,6,9,11,11,6,3,3,2,2,2
11/2/18,2,1,2,1,2,1,1,2,3,3,2,4,5,6,6,7,6,7,5,6,4,4,4,4
12/2/18,2,3,2,2,2,2,2,3,7,15,18,25,16,29,42,44,38,36,33,37,30,11,5,3
13/2/18,2,1,2,2,2,2,3,5,14,18,26,40,31,31,25,30,36,23,41,38,45,28,5,3
14/2/18,2,2,1,2,2,1,2,3,8,23,39,42,40,39,27,27,33,33,42,45,41,5,4,2
15/2/18,5,4,2,2,3,3,3,7,8,19,35,29,18,22,36,26,14,8,6,5,4,4,4,5
16/2/18,2,1,1,2,3,1,2,2,2,3,3,4,3,3,4,6,3,4,3,3,3,3,4,3
17/2/18,3,2,2,2,2,2,2,2,3,3,2,4,2,3,4,2,3,3,4,3,3,4,4,3
18/2/18,2,3,2,2,1,2,2,2,3,4,3,4,3,4,4,4,5,4,5,4,5,3,4,4
19/2/18,3,2,3,2,2,1,2,6,9,15,22,29,23,29,29,33,43,42,35,33,32,14,8,3
20/2/18,3,2,3,2,2,2,2,7,12,20,29,31,37,35,34,29,31,31,41,43,34,28,4,3
21/2/18,2,3,3,1,3,3,3,4,10,20,28,33,21,30,31,41,33,28,50,49,49,17,8,3
22/2/18,3,2,2,2,2,1,1,3,8,20,25,25,21,21,34,31,32,32,20,9,10,10,6,4
23/2/18,2,3,2,3,2,3,3,5,9,15,19,32,22,23,40,58,36,37,58,54,45,35,4,2
24/2/18,3,2,2,2,1,3,6,6,6,11,14,16,13,11,17,9,10,10,6,6,7,4,3,4
25/2/18,3,3,2,2,2,2,2,3,4,3,6,5,6,4,4,5,5,4,5,3,4,5,5,4
26/2/18,3,2,1,1,1,2,2,4,6,8,17,19,17,18,21,20,23,18,15,13,12,9,7,3
27/2/18,2,3,3,2,2,2,3,3,5,8,13,18,21,25,26,27,25,23,15,9,7,7,8,4
28/2/18,2,1,2,2,2,2,2,4,5,9,12,14,19,23,20,32,24,21,20,6,7,5,6,4
1/3/18,3,2,2,3,2,2,2,3,6,10,17,28,23,27,31,35,25,20,17,9,7,9,5,4
2/3/18,3,2,3,3,3,2,2,4,6,11,17,17,17,22,22,16,23,17,11,5,6,8,7,6
3/3/18,4,3,2,2,4,2,2,4,6,7,8,7,9,10,8,9,8,8,5,4,3,5,4,3
4/3/18,3,2,2,2,2,2,1,2,2,3,3,4,6,7,7,8,6,7,5,4,5,4,4,3
5/3/18,3,3,2,2,2,2,3,5,8,24,24,31,27,35,44,46,37,38,40,35,34,12,9,4
6/3/18,3,2,2,1,2,2,1,8,16,20,34,30,33,35,34,148,149,115,105,57,37,36,22,15
7/3/18,9,7,4,4,5,4,5,26,55,130,193,153,109,138,170,143,107,101,138,127,109,53,12,8
8/3/18,8,11,6,6,6,5,5,19,34,87,113,141,103,160,158,145,136,138,119,64,48,30,17,7
9/3/18,5,4,4,4,3,3,5,27,71,81,103,119,140,124,112,97,90,87,104,102,75,72,16,12
10/3/18,4,5,4,3,3,3,5,8,11,27,24,35,36,34,35,36,32,31,17,13,11,9,13,7
11/3/18,5,3,4,4,4,4,4,5,7,10,14,16,15,22,22,23,18,16,14,18,17,23,11,7
12/3/18,5,5,3,2,4,4,3,12,28,62,73,107,126,127,131,147,165,159,127,61,45,26,25,10
13/3/18,7,6,6,5,5,6,7,19,38,76,97,136,119,182,148,176,159,112,133,130,119,76,23,12
14/3/18,9,5,4,5,3,4,5,22,80,104,186,156,97,214,158,156,158,93,128,129,122,112,18,12
15/3/18,10,7,7,7,6,6,8,22,36,91,121,161,114,174,159,148,175,154,147,91,76,66,18,11
16/3/18,10,5,4,5,5,4,7,26,55,98,112,232,130,130,137,117,90,92,93,92,85,79,27,9
17/3/18,7,6,5,4,4,4,5,6,14,20,30,25,26,27,35,32,34,28,20,23,24,19,18,14
18/3/18,9,6,6,4,3,6,5,5,5,9,13,13,17,18,16,23,24,17,16,20,11,14,10,15
19/3/18,5,5,4,5,4,4,6,15,40,78,97,104,99,128,121,127,135,141,101,90,74,41,18,10
20/3/18,9,5,5,4,5,4,6,35,61,94,125,154,122,161,132,142,135,115,110,103,112,53,22,11
21/3/18,6,5,4,4,4,4,5,19,47,77,107,114,100,112,131,133,124,100,128,113,109,83,23,11
22/3/18,9,7,7,7,7,7,9,17,39,78,117,135,97,133,129,140,134,136,77,52,35,32,17,10
23/3/18,7,6,6,6,5,8,8,15,56,98,112,116,100,103,97,96,88,77,84,79,69,61,18,9
24/3/18,6,6,6,5,7,5,8,10,13,14,17,20,21,21,28,28,27,22,21,24,22,23,16,9
25/3/18,8,6,6,7,6,5,4,9,18,20,29,32,17,29,31,28,30,30,24,23,21,17,18,18
26/3/18,5,4,5,5,5,7,6,17,35,81,112,118,123,117,135,138,142,139,145,108,101,74,21,11
27/3/18,7,4,5,4,4,6,7,17,60,116,143,157,135,156,148,157,155,122,121,121,84,44,35,16
28/3/18,11,10,8,7,8,8,11,25,96,135,158,154,151,156,144,131,130,110,139,144,134,123,32,12
29/3/18,8,6,5,4,5,5,6,29,49,83,107,140,120,319,144,151,118,112,117,96,73,30,27,10
30/3/18,9,5,4,4,4,6,9,11,14,22,23,29,30,41,44,55,47,46,28,20,16,21,24,6
31/3/18,8,5,5,4,5,5,5,7,12,22,30,34,37,42,45,44,49,46,38,28,29,25,20,8
1/4/18,7,3,4,3,4,3,5,9,11,19,20,19,21,27,29,30,29,24,23,15,16,17,14,9
2/4/18,8,6,4,5,4,5,8,29,46,74,85,112,99,138,146,130,134,122,128,103,96,61,29,10
3/4/18,7,6,5,4,8,6,8,30,76,124,143,166,136,161,129,133,147,134,110,112,97,86,32,11
4/4/18,8,7,6,7,9,7,11,32,72,152,165,172,138,150,130,143,129,123,155,155,142,113,36,13
5/4/18,11,8,5,10,9,4,6,16,48,72,90,121,121,135,137,183,151,120,104,93,76,46,35,12
6/4/18,10,6,7,9,5,5,9,16,81,123,119,174,155,143,150,174,132,141,166,152,73,70,32,15
7/4/18,12,7,7,7,6,7,8,9,15,26,26,34,43,48,47,53,51,51,41,34,22,25,22,8
8/4/18,7,8,5,5,5,6,6,8,11,14,30,33,30,29,29,33,26,25,19,20,20,18,16,8
9/4/18,8,6,7,6,7,7,11,28,53,83,89,105,125,123,128,123,121,119,105,82,70,42,37,16
10/4/18,6,7,5,5,5,5,8,26,73,96,123,128,126,175,145,155,140,112,115,105,101,78,22,12
11/4/18,6,5,5,4,4,3,10,19,65,112,139,140,111,113,139,154,156,124,137,129,104,59,40,10
12/4/18,5,5,3,3,4,4,8,17,43,63,93,111,105,118,105,137,138,135,123,105,88,57,37,19
13/4/18,7,6,4,7,6,5,9,16,77,134,175,210,126,148,126,120,124,100,128,130,128,83,29,10
14/4/18,8,10,6,5,5,6,11,13,23,32,42,54,51,52,59,54,58,53,39,36,30,24,21,10
15/4/18,5,7,5,6,5,6,6,9,11,12,16,22,23,32,35,38,39,31,21,28,25,25,26,14
16/4/18,12,8,7,7,6,7,10,22,50,90,107,116,125,146,158,144,115,100,122,116,100,67,37,16
17/4/18,11,7,5,5,6,5,9,23,45,108,111,105,109,150,142,125,120,119,91,60,45,47,43,10
18/4/18,11,4,3,5,4,3,7,24,47,96,148,153,125,184,140,154,159,192,200,143,124,84,33,17
19/4/18,11,10,7,7,8,9,11,24,56,104,115,127,147,179,175,155,136,132,100,72,70,33,29,12
20/4/18,10,9,6,8,5,6,9,16,52,113,132,137,104,104,102,92,89,82,87,95,81,70,26,11
