date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8/1/18,2,2,3,2,2,2,2,13,26,28,32,33,28,21,30,31,28,37,33,24,13,8,7,3
9/1/18,3,2,2,1,1,1,2,7,19,30,33,37,31,29,34,33,30,27,34,17,16,20,10,7
10/1/18,3,2,2,2,2,2,4,11,31,36,30,54,46,74,95,74,40,38,47,17,13,10,10,3
11/1/18,3,3,2,2,3,2,2,5,26,32,29,32,30,41,32,36,35,30,32,17,11,12,17,3
12/1/18,2,1,2,1,24,1,3,7,26,34,34,32,37,30,32,71,101,51,28,16,10,9,8,5
13/1/18,2,2,2,3,3,3,2,5,9,11,12,13,18,15,18,20,15,13,13,15,7,19,7,4
14/1/18,2,3,2,1,1,1,2,3,4,5,10,16,18,14,16,13,19,26,15,14,11,19,17,10
15/1/18,7,2,2,3,2,1,2,8,33,48,37,73,56,61,51,83,54,87,87,68,37,36,14,6
16/1/18,3,3,2,2,1,2,2,21,34,68,57,79,72,86,59,92,60,92,53,48,32,22,15,8
17/1/18,3,4,1,1,2,2,2,13,47,78,87,95,75,74,58,107,51,72,50,35,35,20,10,6
18/1/18,4,3,1,3,2,1,6,12,37,81,45,93,52,90,79,115,74,92,58,30,20,24,17,7
19/1/18,5,4,3,2,3,2,3,11,35,52,43,66,57,79,53,57,39,68,48,30,23,17,14,8
20/1/18,3,3,4,4,2,2,2,3,10,14,10,15,14,19,14,7,13,11,12,14,27,8,59,21
21/1/18,3,4,2,1,2,2,1,4,4,8,8,12,10,15,14,10,12,21,9,8,11,15,9,5
22/1/18,4,3,1,2,1,1,2,8,30,47,41,92,57,87,92,127,82,99,57,61,58,32,14,7
23/1/18,3,3,3,3,3,2,6,13,31,77,58,79,57,99,68,81,66,111,59,51,39,30,10,5
24/1/18,2,5,2,2,1,1,2,10,49,86,54,90,65,74,67,95,67,99,68,46,52,39,22,10
25/1/18,7,5,5,4,3,3,7,16,34,60,49,99,54,77,67,97,80,66,50,52,41,35,26,12
26/1/18,3,2,4,1,2,2,3,10,34,54,56,78,55,94,69,66,48,65,45,17,15,18,27,6
27/1/18,9,3,3,3,2,1,2,8,20,26,22,29,20,15,15,11,12,13,17,10,7,4,8,4
28/1/18,1,3,2,2,1,1,1,1,4,6,7,10,14,8,8,7,8,8,11,9,10,6,6,5
29/1/18,2,3,1,1,2,1,2,12,34,49,47,96,86,97,94,88,79,82,58,43,25,28,18,8
30/1/18,2,2,1,1,1,1,4,12,20,75,98,98,93,92,110,120,108,121,56,52,23,18,8,6
31/1/18,3,2,2,3,2,2,8,11,33,62,78,119,92,91,98,87,76,83,61,37,26,30,15,4
1/2/18,4,2,2,2,2,2,3,14,40,64,47,87,51,85,119,119,98,100,83,60,43,35,22,8
2/2/18,5,3,5,3,3,3,4,10,33,53,63,88,60,76,60,80,44,62,74,40,16,29,30,15
3/2/18,2,9,2,1,1,1,2,4,20,29,25,24,22,15,11,11,13,20,22,14,11,8,7,3
4/2/18,2,3,1,1,2,1,2,3,3,5,11,9,10,9,10,12,13,13,11,10,11,7,9,5
5/2/18,1,2,1,1,1,2,3,23,31,49,58,80,79,124,120,120,68,91,58,50,35,17,12,8
6/2/18,5,3,4,3,2,4,3,15,40,92,100,109,108,106,104,118,119,84,62,55,38,25,25,10
7/2/18,9,4,4,1,3,2,4,15,41,54,34,74,74,109,110,117,92,89,62,37,26,25,12,8
