date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8/1/18,1,1,1,1,1,2,1,3,9,13,15,19,17,23,22,21,21,23,6,2,3,3,1,2
9/1/18,1,1,1,2,1,1,2,3,14,21,21,23,25,25,26,22,25,25,16,7,4,5,3,3
10/1/18,2,2,1,2,3,2,2,4,16,24,26,25,25,22,27,22,25,20,9,4,3,1,2,1
11/1/18,1,1,1,1,1,1,1,2,17,27,22,33,35,22,25,22,24,21,10,7,3,3,3,1
12/1/18,1,2,2,2,2,2,1,2,10,17,21,22,23,26,25,33,29,24,6,6,5,3,2,2
13/1/18,2,2,4,3,3,3,3,3,3,3,7,5,8,9,9,9,9,8,3,2,4,3,2,1
14/1/18,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,4,3,2,2,2,2,2,1
15/1/18,1,1,1,1,1,1,1,2,10,23,23,25,29,33,32,29,40,36,14,8,5,3,2,2
16/1/18,2,1,1,1,1,1,2,4,15,28,30,28,29,34,31,35,42,33,18,8,6,6,5,5
17/1/18,4,3,3,2,3,3,3,5,16,24,31,33,32,30,38,37,42,32,17,11,7,6,5,4
18/1/18,5,2,4,2,2,2,1,3,13,23,26,28,27,27,40,38,39,41,19,8,6,6,4,4
19/1/18,2,1,1,2,2,2,1,3,13,25,33,37,44,42,28,32,28,23,14,9,7,6,5,2
20/1/18,3,2,2,2,2,2,2,3,5,5,9,6,9,7,9,9,7,6,3,4,2,2,3,3
21/1/18,2,2,2,2,2,2,2,2,2,4,4,4,5,4,5,5,4,3,3,3,3,3,2,2
22/1/18,2,1,2,1,1,1,1,5,20,27,33,34,28,37,39,40,37,35,19,8,5,4,3,1
23/1/18,2,1,2,1,1,1,1,7,17,27,32,29,30,33,36,37,32,30,18,10,5,3,4,2
24/1/18,2,2,1,1,1,1,1,3,12,26,33,31,37,35,44,51,37,29,30,10,9,6,6,5
25/1/18,2,1,3,3,2,2,1,4,14,31,33,35,41,40,57,60,41,37,14,8,9,5,2,1
26/1/18,3,2,2,2,2,2,2,7,21,26,29,37,37,34,37,36,38,36,19,14,7,3,2,1
27/1/18,1,2,2,3,1,3,1,1,1,2,4,5,4,4,4,6,6,4,4,4,3,2,1,2
28/1/18,1,1,1,1,2,2,2,1,2,2,3,3,4,4,3,3,2,2,2,3,1,2,2,1
29/1/18,1,1,1,1,2,1,1,5,8,13,12,12,12,15,20,21,31,22,17,10,7,2,3,2
30/1/18,1,2,2,2,2,2,1,3,9,16,12,16,19,21,21,22,26,16,12,6,5,7,2,2
31/1/18,1,1,1,2,1,1,1,3,6,14,16,18,23,23,22,26,25,21,8,5,6,6,3,3
1/2/18,2,1,1,2,1,2,1,2,6,11,16,21,22,29,17,25,25,22,17,5,6,6,4,1
2/2/18,2,3,2,1,2,3,2,3,8,15,21,20,18,19,22,22,18,13,8,3,3,2,2,1
3/2/18,2,2,1,2,2,3,1,1,3,3,5,5,6,4,6,3,4,4,3,4,3,2,2,2
4/2/18,1,2,1,1,2,3,1,2,2,3,2,4,4,3,3,3,2,2,3,2,2,1,3,2
5/2/18,3,3,2,2,2,3,3,4,8,13,14,19,18,21,21,22,20,17,10,5,4,3,3,3
6/2/18,2,1,1,2,3,1,2,4,14,21,17,16,18,22,20,21,18,13,9,3,3,4,3,3
7/2/18,1,2,1,1,1,1,1,2,10,16,18,21,21,17,22,30,24,17,13,6,3,2,2,2
8/2/18,1,2,2,1,1,2,1,2,9,15,11,17,16,22,16,25,22,25,13,6,4,2,3,2
9/2/18,1,1,1,2,2,3,1,4,8,22,19,22,17,17,15,19,18,14,5,5,3,3,2,1
10/2/18,2,1,1,2,2,1,2,2,3,5,7,5,3,5,7,5,6,6,5,4,3,2,2,3
11/2/18,3,3,3,2,2,2,2,2,2,5,2,3,3,4,5,4,4,5,4,3,3,4,3,3
12/2/18,2,2,2,2,2,2,2,3,13,19,17,24,25,23,20,21,20,25,13,4,3,4,3,2
13/2/18,2,2,2,1,2,2,3,6,13,15,21,25,16,28,16,20,18,19,12,6,5,3,3,2
14/2/18,2,2,2,2,2,3,3,3,9,10,17,15,14,20,19,24,25,14,9,3,3,4,2,2
15/2/18,1,1,2,1,1,2,2,3,8,12,15,12,12,14,8,11,7,8,4,4,3,1,3,2
16/2/18,1,2,4,2,1,2,2,3,3,3,2,3,3,4,4,3,4,2,2,3,2,3,2,2
17/2/18,2,2,1,1,2,2,2,2,2,2,2,3,3,3,4,3,3,3,3,4,2,3,3,3
18/2/18,2,2,2,2,2,2,1,1,2,2,2,4,4,4,4,6,5,5,4,4,1,2,2,2
19/2/18,2,2,1,2,1,1,2,4,7,10,14,13,20,22,15,18,21,10,9,6,3,4,6,4
20/2/18,2,2,1,1,1,2,3,4,10,16,19,13,13,23,26,27,18,17,10,5,3,4,3,2
21/2/18,1,1,1,2,2,2,1,3,9,14,20,19,13,14,20,22,19,17,10,7,3,4,1,2
22/2/18,2,1,1,1,1,1,1,3,8,11,12,13,16,19,16,21,16,18,12,6,4,3,3,2
23/2/18,1,3,3,3,1,1,1,2,11,13,16,19,17,19,25,36,26,20,9,4,2,3,2,1
24/2/18,2,1,1,1,1,1,3,3,3,4,5,6,6,5,6,7,6,5,2,1,2,2,1,2
25/2/18,1,1,1,2,1,1,1,1,2,3,2,2,1,2,4,5,4,3,2,3,8,3,3,2
26/2/18,2,3,1,1,1,1,1,2,10,11,20,20,17,17,17,18,17,20,11,3,5,4,2,1
27/2/18,2,1,1,1,1,1,1,4,8,13,19,20,25,21,25,25,21,23,16,4,4,4,5,5
28/2/18,3,4,3,3,2,2,2,4,8,16,19,15,14,15,21,21,20,18,7,4,1,2,2,2
1/3/18,1,1,1,1,1,1,1,3,10,18,22,23,28,21,20,22,23,19,13,5,5,4,4,4
2/3/18,2,2,3,3,2,3,4,5,13,20,23,22,20,24,31,38,27,23,12,7,5,2,2,3
3/3/18,2,3,3,4,2,2,2,3,3,3,4,9,9,7,6,6,9,8,4,3,3,3,3,2
4/3/18,4,3,4,3,4,3,2,2,3,3,6,6,6,6,6,7,5,4,3,3,2,3,3,2
5/3/18,2,2,2,2,1,1,2,3,12,17,20,23,26,30,34,32,30,23,18,9,11,6,4,2
6/3/18,2,2,2,2,2,3,4,3,15,26,33,35,22,25,34,40,42,43,32,17,11,11,12,8
7/3/18,6,5,5,4,4,6,5,6,18,32,37,37,33,46,49,43,65,55,23,16,12,13,9,7
8/3/18,6,6,4,4,4,6,6,9,17,34,33,43,46,46,51,54,43,36,25,15,16,11,9,10
9/3/18,6,7,5,4,4,5,3,7,21,27,39,45,49,46,47,50,37,36,14,10,7,9,6,7
10/3/18,6,7,5,6,4,4,5,5,8,9,13,17,14,13,14,18,14,14,8,7,8,7,6,5
11/3/18,4,4,5,5,3,4,5,4,8,8,10,14,12,12,7,9,10,9,8,8,6,8,7,7
12/3/18,4,3,4,4,5,4,6,8,23,28,34,42,43,41,42,46,42,38,29,27,12,12,9,7
13/3/18,3,3,4,4,4,5,5,8,22,28,35,49,37,58,46,43,35,33,28,20,12,9,7,5
14/3/18,4,5,5,4,5,4,5,11,27,35,33,43,53,41,53,57,46,51,25,15,11,11,9,7
15/3/18,4,5,4,3,3,3,5,13,28,34,41,39,44,55,49,62,48,37,30,17,19,14,7,8
16/3/18,6,6,4,4,3,4,5,11,26,36,35,38,42,39,40,56,56,40,19,14,12,10,6,5
17/3/18,5,4,3,4,4,4,4,4,9,8,9,12,11,13,14,9,15,13,13,9,8,5,4,5
18/3/18,6,7,5,4,5,4,6,5,6,8,9,7,8,7,7,9,6,6,9,6,5,9,3,3
19/3/18,3,4,3,3,3,3,4,7,21,35,34,41,40,42,56,37,44,37,25,14,11,10,7,8
20/3/18,6,3,4,4,5,4,4,9,16,28,36,47,24,38,49,49,36,32,19,11,14,9,7,4
21/3/18,4,5,3,5,4,4,3,6,15,40,44,43,52,41,41,55,52,39,22,10,7,7,6,5
22/3/18,3,2,3,3,3,4,3,6,18,25,29,33,39,45,34,51,44,41,30,15,8,8,6,5
23/3/18,5,4,3,4,4,4,5,14,22,25,26,45,42,36,33,43,37,31,18,19,13,13,8,9
24/3/18,4,4,4,4,4,5,5,8,9,13,15,16,13,16,15,15,11,12,9,10,6,7,8,5
25/3/18,5,3,4,3,3,4,4,5,9,16,17,12,9,11,12,14,13,10,5,5,4,6,6,6
26/3/18,4,3,2,2,4,3,5,8,23,33,29,38,39,42,60,69,68,46,27,18,14,13,9,5
27/3/18,6,4,4,2,2,4,4,8,25,35,34,36,49,52,51,50,48,42,19,18,14,11,9,9
28/3/18,5,4,8,5,4,3,6,10,28,43,53,47,52,47,59,63,64,50,33,15,13,11,9,7
29/3/18,5,5,3,3,2,3,4,9,28,31,52,60,70,77,64,71,57,40,32,17,15,12,8,8
30/3/18,6,4,5,4,3,3,3,7,5,13,10,12,9,7,10,14,14,12,8,7,6,6,7,8
31/3/18,4,3,3,2,3,4,3,4,7,11,17,18,24,18,14,15,13,14,13,7,5,6,5,7
1/4/18,4,4,3,5,2,2,3,5,6,6,7,6,7,8,10,10,8,7,7,9,7,6,6,4
2/4/18,4,3,4,4,3,3,3,8,22,32,34,43,45,44,56,61,56,33,30,25,12,11,7,5
3/4/18,5,5,3,4,3,3,5,11,26,33,45,59,54,58,65,59,41,40,33,18,12,12,9,9
4/4/18,6,5,4,3,3,4,3,7,24,39,54,57,60,42,46,72,62,37,26,20,10,10,12,9
5/4/18,8,5,6,5,11,5,5,12,29,39,40,37,40,47,49,51,44,45,25,32,13,14,8,10
6/4/18,5,4,4,4,4,4,5,10,24,35,45,46,48,41,44,43,36,22,21,11,8,8,7,5
7/4/18,4,5,3,3,2,2,6,8,8,14,15,20,12,17,14,16,14,19,14,7,5,7,8,8
8/4/18,7,5,4,3,4,4,5,6,8,7,6,7,8,8,9,12,6,9,7,9,5,6,8,8
9/4/18,6,5,3,3,4,5,4,12,28,40,48,55,50,52,60,52,58,40,36,24,10,14,12,5
10/4/18,4,3,4,3,4,4,3,8,24,36,42,49,39,63,75,48,36,39,24,14,12,12,9,6
11/4/18,7,4,3,3,3,2,6,11,23,43,50,49,64,45,48,66,62,35,29,19,7,13,7,7
12/4/18,4,4,3,3,3,4,5,10,25,29,33,42,48,51,49,56,45,43,27,25,19,14,7,7
13/4/18,6,4,2,3,3,4,2,10,22,31,64,37,36,35,45,51,41,40,25,13,17,14,11,8
14/4/18,5,5,3,3,6,5,5,9,9,15,18,20,20,13,13,12,11,13,10,7,5,8,7,5
15/4/18,3,3,3,4,2,4,4,5,5,6,5,6,7,6,11,8,9,10,6,8,6,4,7,8
16/4/18,6,4,5,4,4,6,5,7,22,35,43,59,40,44,58,48,50,28,30,24,11,12,11,9
17/4/18,3,6,3,4,4,4,5,9,25,35,48,62,41,49,51,52,43,38,21,12,13,9,6,6
18/4/18,5,4,4,4,3,3,4,8,27,44,58,56,72,43,56,65,60,43,25,12,10,10,9,7
19/4/18,4,4,5,4,5,3,4,8,23,33,40,50,57,61,47,59,54,45,27,18,16,12,8,7
20/4/18,4,4,3,4,3,3,3,8,23,35,38,43,48,46,48,55,55,45,26,10,12,13,11,8
21/4/18,4,3,2,3,5,5,6,7,13,16,19,19,17,17,16,19,19,31,10,10,10,7,8,5
22/4/18,4,4,5,3,4,3,4,5,7,10,10,11,9,10,9,11,14,12,8,8,11,7,10,6
23/4/18,7,6,5,5,3,4,4,9,21,38,40,41,44,37,49,43,37,31,17,13,13,20,11,7
24/4/18,8,4,5,4,4,4,4,8,20,29,32,44,43,40,41,41,44,40,33,20,31,9,10,7
25/4/18,6,3,5,3,3,4,4,10,25,36,42,39,36,35,36,34,27,31,31,13,82,16,10,6
26/4/18,8,6,4,4,5,4,6,11,23,29,45,42,36,43,58,60,50,51,30,33,36,31,21,8
27/4/18,4,3,4,4,3,3,4,10,26,35,36,44,41,38,43,42,37,29,22,11,11,9,8,9
28/4/18,5,4,4,4,3,4,4,9,11,13,18,17,19,18,17,21,15,28,11,9,7,7,7,6
29/4/18,5,5,6,6,3,5,4,6,7,6,8,6,7,8,7,9,9,10,8,9,7,8,7,6
30/4/18,5,4,3,3,4,3,3,7,24,30,33,42,35,29,76,250,189,28,30,27,10,12,7,7
1/5/18,6,6,4,4,3,3,5,5,8,19,7,8,10,9,11,10,11,9,10,7,21,7,7,6
2/5/18,3,4,4,3,3,3,3,8,21,27,31,52,34,34,35,35,30,27,20,18,13,13,8,6
3/5/18,6,3,5,3,4,4,5,10,20,29,29,33,33,27,37,40,45,40,30,21,11,10,9,6
4/5/18,5,4,3,5,3,2,4,10,26,34,36,47,38,30,41,46,32,29,27,14,13,9,7,5
5/5/18,4,4,4,5,5,4,4,5,13,13,16,15,18,15,19,21,12,13,10,11,10,6,5,5
6/5/18,8,8,5,3,3,4,4,8,10,6,8,7,10,11,9,9,8,7,9,8,8,7,6,6
7/5/18,5,5,5,4,3,3,3,11,22,27,34,40,29,33,38,42,29,28,23,16,9,9,14,7
8/5/18,4,4,3,3,3,3,3,13,18,25,33,30,29,33,26,32,34,27,16,14,12,10,10,6
9/5/18,5,4,4,5,3,5,4,17,23,28,30,30,23,24,34,30,32,31,19,13,8,13,7,6
10/5/18,5,4,5,4,3,3,5,9,15,23,32,40,39,34,36,38,35,27,27,16,12,8,8,6
11/5/18,6,4,3,3,5,4,5,9,18,22,37,36,34,34,38,39,33,35,26,14,10,6,6,5
12/5/18,5,3,4,4,4,4,3,6,12,19,15,20,22,17,21,19,17,17,11,13,7,8,4,6
